ise	ise
mõtlema	`mõtlesin
et	et
nooh	nooh
et	et
kui	kui
see	sie
olema	onn
et	et
mis	miss
see	sie
siis	siis
olema	onn
muu	muut
kui	kui
surm	surm
jaah	jaah
see	sie
õhk	õhu
vahetus	vahettus
noh	nuoh
tulema	tul'in
kodu	kodu
rääkima	`riäksin
naine	naisele
ära	ära
see	se
lugu	lugu
et	et
tema	täma
kirjutama	kirjuttas
rohi	rohod
ja	ja
naine	naine
hakkama	`akkas
nutma	`nutma
et	t
siis	siis
olema	õl'i
veel	viel
noor	nuored
et	et
no	no
kahju	`kahju
lahkuma	`lahkuda
väga	väga
usin	us'ina
jaah	jaah
mina	maa
ütlema	`üt'sin
et	t
ei	eij
olema	õle
viga	viga
et	et
juba	juba
meie	me
siis	siis
olema	õleme
ka	koa
viis+kümmend+viis	viis+kümmend+viis
aasta	`aassad
vana	vanad
mina	mina
olema	õlen
siis	siis
meie	me
olema	õlem
ka	koa
hulk	`ulkka
aeg	`aega
jo	juo
ühes+koos	ühes+kuos
elama	elanud
ja	ja
aga	aga
et	t
noh	nohh
siis	siss
aga	aga
see	sie
aeg	aeg
minema	läks
edasi	edäsi
mina	mina
pruukima	`pruukkisin
need	nied
rohi	rohod
ja	ja
aga	aga
see	sie
rohi	rohi
olema	õl'i
hea	ia
see	se
rohi	rohi
olema	õl'i
hea	ia
ja	ja
parandama	parandas
mina	minuda
nõnda	nõnna
et	et
mina	mull
olema	õl'i
siis	siis
olema	õl'i
nagu	nagu
hingamine	`ingamises
olema	õl'i
raske	`raske
hingamine	`ingamine
olema	õl'i
raske	`raske
mina	ma
kartma	kardin
et	et
et	et
tiisikus	tiis'ik
hakkama	`akkab
aga	aga
arst	ar'st
vaatama	`voattas
ära	ära
ütlema	`ütleb
et	et
ei	eij
olema	õle
ei	eij
olema	õle
süda	südames
olema	on
viga	viga
sina	sull
jaah	jaah
süda	südames
olema	on
viga	viga
no	nuo
ja	ja
noh	nuoh
no	nuo
siis	siss
pruukima	`pruukkisin
need	neid
rohi	`rohtosid
ütlema	`ütleb
nüüd	nüt
pruukima	pruugi
need	nied
rohi	rohod
ära	ära
esiti	`este
siis	siss
pidama	pia
kaks	kaks
nädal	nädalad
vahe	vahet
pidama	pia
kaks	kaks
nädal	nädalat
vahe	vahet
siis	siis
tooma	too
jälle	jälle
uus	uus
portsjon	`ports'jon
proovima	proovi
pruukima	pruugi
siis	siis
need	nied
rohi	rohod
ka	koa
ära	ära
see+sama	sie+samma
rohi	rohi
aga	a
kaks	kaks
nädal	nädalad
vahe	vahet
pidama	pidäda
no	no
siis	siis
olema+ki	õl'igi
seda+viisi	seda+viis'i
ja	ja
aga	aga
mina	mina
praavima	`praavisin
tublisti	tubliste
hästi	`iaste
hakkama	`akkasin
tööle	`tüele
aga	aga
et	t
see	seda
keelama	`kielas
ära	ära
et	et
raske	`rasket
töö	tüed
ära	ära
tegema	tie
raske	`rasket
töö	tüed
ära	ära
tegema	tie
noh	nuoh
ja	ja
sealt	sält
mina	ma
saama	sain
aru	aru
kui	ku
mina	ma
raske	`rasket
töö	tüet
tegema	tegin
see	sie
olema	õl'i
mina	mulle
halb	alb
siis	siiss
hakkama	`akkas
hingamine	`ingamine
raske	`raskemast
minema	menema
mina	mia
olema	õl'in
siis	siis
noor	nuor
mina	ma
olema	l'in
aiva	aeva
poisi+kene	poisikkene
ja	ja
siis	siis
meie	meile
käima	käis
enne	`enne
siin	siin
olema	õl'i
suur	suur
mets	mets
siis	siss
käima	käis
kõik	kõik
küla	küla
pere+mees	pere+meste
ja	ja
vabadik	vabad`ikkude
loom	luomad
käima	käisid
üks	ühes
kari	karjas
ja	ja
siis	siis
meie	meil
olema	õl'i
karjane	karjane
olema	õl'i
palkama	palgattud
juba	juba
ja	ja
siis	ss
olema	õl'i
kevadine	kevadene
aeg	aeg
olema	õl'i
veel	vel
loom	luomad
mets	metsas
ei	ei
ei	ei
käima	käind
olema	õl'id
kodu	kodu
ja	ja
tema	täma
olema	õl'i
meie	meil
parajasti	paraeast
siis	siss
nagu	nägu
korda	`kõrda
või	vai
nõnda	nõnna
pidama	pid'i
siis	siss
kari	`karja
minema	menema
aga	aga
siis	siis
see	sell
aeg	aeal
olema	õl'i
siin	siin
Vadi	Vad'il
olema	õl'i
suur	suur
jõgi	jõgi
ja	ja
eks	eks
tema	ta
olema	on
praegu	`paergu
siis	siis
rääkima	`rääkkisime
kokku	`kokko
see	selle
karjane	karjassega
et	ät
nüüd	nüid
minema	lähmä
tooma	tuome
peerg	pieru
puu	puid
ja	ja
kiskuma	kisume
panema	paneme
kuivama	`kuima
siis	siis
minema	lähmä
vähile	vähile
jaah	jaah
vähk	`vähki
püüdma	`püüdmä
öösel	`üese
need	nied
hästi	iast
nisuke	`neskesed
tõrvane	tõrvased
mänd	män'ni
peerg	pierud
need	nied
hästi	iast
põlema	põlevad
ja	ja
näitama	`näittavad
valge	`valget
vesi	vee
seest	siest
siis	siis
meie	me
sealt	sält
võtma	võttame
kinni	`kin'ni
no	no
siis	siis
minema	läksime
minema	läksime
siis	siis
tema	täma
olema	õl'i
ikka	ikke
vana	vanemb
ja	ja
tema	täma
olema	õl'i
kolm	kolm
aasta	`oastad
mina	minust
vana	vanemb
jaah	jaah
tema	tämal
olema	õl'i
siis	siis
kirves	kerves
mina	mina
minema	läksin
tema	tämale
nagu	nägu
selts	sel'tsist
sinna	`sinna
ja	ja
ja	ja
tema	täma
hakkama	`akkas
siis	siis
see	seda
puu	puud
maha	maha
raiuma	`raijuma
kes	kellest
meie	me
peerg	`piergusid
kiskuma	`kiskusime
ja	ja
tema	täma
raiuma	`raijus
aga	aga
siis	ss
nisuke	`niske
vesine	ves'ine
paik	paik
olema	õl'i
aga	a
mina	mina
olema	õl'in
seisma	`seis'in
püsti	`püs'ti
seal	sial
ligidal	ligidäl
ja	ja
ja	ja
tema	täma
raiuma	`raijus
siis	siis
see	seda
puu	puud
väike	vek'ke
kirves	kerves
olema	õl'i
ja	ja
aga	aga
tema	tall
olema	õl'i
hästi	`äs'ti
terav	terav
kirves	kerves
olema	õl'i
ja	ja
aga	aga
mina	mina
olema	õl'in
üks	ühe
küngas	`künkka
otsas	õtsas
aga	a
see	se
küngas	küngas
hakkama	`akkas
liikuma	`liikkuma
ja	ja
