masin	masinad
siin	siin
siin	siin
tulema	tuleb
vist	vist
üks	üks
lõhke+pomm	löhke+pomm
ka	ka
veel	veel
ei	ei
olema	ole
veel	veel
puudu	`puudu
puudu	`puudu
kaheksa+kümmend	kaheks+kümend
viis	viiss
saama	sain
täis	täiss
kaks+kümmend	kahe+`gümne
seitsmes	`seitsmemal
märts	`märtsil
nii	nii
olema	on
siis	siis
veel	veel
puudu	`puudu
natuke	nattukke
jaa	jaa
natuke	nattukke
palju	`pal'lu
ei	ei
olema	old
pool	puol
aasta	`aastad
hea	ia
küll	küll
enne	`enni
siin	siin
ligidal	ligidäl
olema	`olli
mina	maa
olema	olen
see	seda
lapse+põlv	lapse+`bölves
veel	veel
vähe	vähä
mäletama	määlettan
need	neid
hoone	`uoneid
aga	aga
kui	kui
seal	sial
viin	viin
olema	oln
see	seda
mina	ma
ei	ei
mäletama	määlettä
ja	ja
siis	sis
tema	ta
olema	oli
seal	sial
sulane	sulaseks
olema	old
olema	oli
nõnda	nõnna
mõnus	mönus
mees	mies
olema	oln
ja	jä
ja	ja
siis	siss
tema	taa
ema+vend	ema+vend
ja	jä
olema	oli
siis	siis
talitaja	talittaea
olema	oln
ja	ja
siis	siiss
see	sie
kõrtsmik	`körsmik
ka	koa
ja	ja
olema	oli
siis	siis
ikke	`ikke
kroonu	kroonus
kaks	kaks
nädal	nädald
olema	oli
Toompea	Toom+ppeal
kaa	kaa
olema	oln
olema	oli
soldat	soldattiks
siis	siiss
ostma	ostettud
see	se
ostma	ost
tema	ta
mees	mihe
Ravila	Ravila
mõis	mõisa
opman	`opmani
vend	vend
käima	käin
tema	ta
eest	iest
ja	ja
siis	siis
tema	ta
tulema	tuli
tagasi	tagasi
hakkama	`akkas
seal	sial
jälle	`jälle
orjama	`orjamä
ja	ja
siis	siiss
orjama	`orjas
see	seda
kroonu	kronu
teenistus	teenistuse
aeg	`aega
seal	sial
kuni	kuni
seitse	seitse
aasta	`aastat
jaa	jaa
seitse	`seitsme
aasta	`aasta
pärast	pärast
tema	taa
rääkima	`rääkkis
mitu	mittu
kord	`kordä
saama	sai
üks	öhö
hõbe+rubla	öbe+rubla
aga	aga
siis	siiss
väike	väikke
sauna+koht	sauna+koht
olema	oli
ja	jä
olema	oli
olema	oln
ega	ega
mina	mina
olema	pöle
nägema	näin
aga	aga
ja	ja
see	seda
tema	ta
rääkima	`rääkkis
siis	siis
ema	iema
tegema	tein
muidugi	muidugist
lammas	lammas
või	vöi
paar	paar
ka	koa
olema	oln
olema	oli
kas	kass
sukk	`sukki
ja	ja
kinnas	`kindud
mis	miss
töö	tüö
juures	`juures
ära	ära
kuluma	kuluvad
jaah	jaah
ja	ja
siis	siss
sealt	sialt
tema	ta
tulema	tuli
siis	siss
oma	oma
onn	`on'ni
tagasi	tagasi
siis	siss
saama	sai
see	se
seitse	seitse
aasta	`aastad
seal	sial
täis	täis
noh	nohh
siis	siis
vähekene	vähäkkene
mina	maa
ei	ei
tohtima	tohi
ütlema	üttelda
üks	üks
väga	väga
vähe	vähä
olema	oli
see	seda
üks	üks
hektar	`ektar
või	vöi
mis	miss
see	seda
põllu+maa	pöllu+maad
võima	vöis
napisti	nappisti
küll	kül
üks	üks
hektar	`ektar
see	seda
võima	vöis
olema	`ollä
siis	siiss
mis	miss
siis	siiss
hobune	oobuse
saama	sai
juba	juba
siis	siis
hakkama	akkäss
Paldiski	Paldiskist
olema	oli
veel	vell
see	se
mõisnik	`möisnigude
käest	kääst
viin	viin
hakkama	`akkäs
siis	siiss
kaks	kaks
nädal	nädald
kaks	kaks
kord	`korda
nädal	nädalis
hakkama	`akkas
Vihter+palu	Vihter+balu
mõis	mõisast
vaat	vaadidega
vaat	vaadidega
kaks	kaks
vaat	`vaatti
peal	pial
viin	`viina
vedama	vidam
ja	ja
see	sie
reis	reis
olema	oli
üks	üks
öö	öö
ja	ja
kaks	kaks
päev	`päävä
ja	ja
saama	sai
see	selle
ette	`ette
kaks	kaks
rubla	ruubla
ja	ja
olema	olime
laps	laapsed
eks	eks
saama	sai
ikka	ikka
vahel	vahel
ütlema	üttelda
ka	koa
kui	ku
palju	`pal'lu
leib	`leiba
võtma	`vötsid
ja	jä
see+kord	see+gord
maksma	`maksis
ka	koa
olema	oli
maksma	maksn
rubla	rubla
kaheksa+kümmend	kaheks+kümend
kopikas	`kopka
jahu	jahu
puud	puud
noh	nohh
siis	siis
see	sie
kaks	kahe
päev	pääva
ja	ja
üks	öhö
öö	öö
reis	reisust
ei	ei
jääma	jään
järel	järäl
kaks+kümmend	kaks+kümend
kopikas	`kopkad
nii+moodi	nii+`muudi
olema	oli
siis	sis
see	sie
seal	sial
ja	ja
see	sie
olema	oli
see	sie
lahtine	`lahtine
mõis	mõisa
puskar	`puskar
mis	mis
nemad	nad
siis	siis
vedama	vidasid
seal	sial
Paldiski	Paldiski
kõrts	kõrsidesse
see	sie
laskma	`las'kis
see	sie
linna+pea	linna+bia
või	vöi
kes	kis
need	ned
laskma	`las'kis
sealt	sialt
tooma	`tuuwa
kõrts	kõrssidelle
ja	ja
siis	siss
jah	jahh
öö	üöd
läbi	läbi
minema	mine
ja	ja
tulema	tule
ja	jä
aga	aga
seal	sial
siis	siis
aida+mees	aida+mes
olema	oli
üks	üks
mõnus	mönus
mees	mies
olema	oln
nii	nii
et	ett
siis	siis
raha	rahad
andma	`an'tti
tema	tema
kätte	`kätte
olema	oli
kohe	kohe
andma	`anttud
ikka	ikka
selts	`sel'tsi
siis	siiss
ütlema	ütteln
et	ett
nüüd	nüid
minema	mine
härra	ärra
juurde	`juure
maksma	maksa
raha	rahad
ilusti	ilusti
ära	ära
aga	aga
siis	siis
panema	`pandud
sinna	sõnn
kassi+auk	kas'si+`aukku
üks	üks
väike	väikke
rumka	rumpka
jah	jaahh
et	ett
siis	siis
kaduma	kadus
pimesi	pimesi
kaduma	kadus
see	sie
ära	ära
aga	aga
panema	pane
nõu	nöu
tagasi	tagasi
et	et
teine+kord	teene+gord
jälle	`jälle
saama	`saada
olema	ond
ära	ära
nõu	nöu
ära	ära
viima	vii
üks	üks
väike	väikke
pool	pool
kortel	`korttelt
või	vöi
mis	mis
see	se
olema	old
noo	noo
kuur	kuuri
sein	seintte
sees	sies
mis	mis
e	e
sedasi	sedasi
et	ett
kass	kas'sid
läbi	läbi
jooksma	joosma
kuur	kuuri
sisse	`sisse
nii+sugune	nihukke
auk	aouk
olema	oln
nüüd	nüd
see	seks
müür	müiri
sisse	`sisse
kohe	kohe
tegema	`tehtud
et	ett
kass	kas'side
jooks	jooksu
tarvis	`tarvis
vaatama	vatta
ega	ega
see	se
olema	pöln
jänes	jänesse
püüd	püid
et	et
see	sie
ikka	`ikka
lest	lesta
püüd	püid
aga	aga
ent	ent
e	e
ää	ää
see	seda
rääkima	räägime
esiteks	`es'tiks
muidu	mud'u
nõnda	nönna
et	ett
see	se
siia	`seijä
ei	ei
minema	lähä
ei	ei
hehh	hehh
noh	nohh
mina	ma
võima	vöin
nimi	nimed
ka	koo
nimetama	nimettada
või	vöi
kes	kiss
need	need
mees	mihed
olema	olid
olema	oln
Suure+kivi	Suure+gibi
Jaan	Jaan
ja	ja
Anton	`Antton
Promiisn	Promiisn
ja	ja
teine	teine
olema	oli
Roosi+kivi	Roosi+givi
Jaagop	Jaagop
Jaagop	Jaagop
Laur	Laur
olema	olid
selts	`seltsis
Odinoka	Odinokkal
olema	oln
noh	nohh
ehk	ehk
lest	lesta
noot	noodal
üks+kõik	üks+keik
mis	mis
see	se
olema	oli
nüüd	nd
jälle	`jällä
seal	siall
märk	`märgid
olema	olid
Madise	Madise
kirik	kerik
ja	ja
leeri+tuba	leeri+dua
korsten	korsnes
teine	teise
ääres	`ääres
olema	old
e	e
vat	vatt
lest	lesta
püüd	püiju
märk	`märgid
pidama	`piavad
ikka	`ikka
ristis	`ristis
olema	oleme
muidu	muidu
ei	ei
saama	saa
õige	`öige
koht	koha
peal	pial
see	se
laht	lahe
olema	on
ju	ju
hirmus	`ermus
kivine	kivine
et	ett
siis	siiss
olema	onn
liiv	liiva
koht	kohad
olema	on
sedasi	sedasi
väljas	väl'l
ja	ja
siis	siis
jälle	`jälle
Kurkse	Kurksis
olema	oli
üks	üks
tuule+veski	tuule+`ves'ki
ja	ja
Risti	Risti
kirik	kirikku
torn	torn
et	et
siis	siis
see	sellega
saama	sai
loom	loom
koht	koha
sedasi	sedasi
neli	neli
loom	`luoma
saama	sai
sealt	siald
üks	ühe
pealt	pält
tegema	tiha
noh	noohh
nüüd	nüid
jälle	jälle
seal	siall
vaatama	`vaattavad
vaatama	`vaattavad
ikka	`ikka
ei	ei
hakkama	`akka
see	seda
veski	`ves'ki
ei	ei
hakkama	`akka
nii+sugune	`niukke
udu	udus
olema	oli
olema	oln
veski	`ves'ki
ei	ei
hakkama	`akka
paistma	`paistmä
kui	ku
na	na
enne	enne
kui	ku
see	se
Laur	Laur
olema	olid
nägema	näind
ütlema	ütteld
nägema	nää
nägema	nää
jänes	jänes
jänes	jänes
ja	ja
siis	siis
see	see
Promiisn	Prohmiis
Jaan	Jaan
ütlema	ütt
mis	mis
sina	sa
rääkima	räägid
kus	kuss
see	see
jänes	jänes
siin	siin
meri	mere
peal	bial
nii	nii
kaugel	`kaugäl
siis	sis
ei	ei
nägema	nää
kõrv	körvad
paistma	paestavad
kõrv	körvad
paistma	paestavad
aga	aga
need	ned
tuule+veski	tuule+`ves'ki
tiib	`tiivad
olema	olid
läbi	läbi
udu	udu
hakkama	akkan
