mh	mh
ahah	hahah
see	se
kohe	kohe
ja	ja
siis	siis
e	e
esmalt	`esmalt
käima	käisin
mets	`metsas
need	neid
mänd	`mände
vaatama	`vaattamas
kes	kes
laud	`laudi
saama	saab
saagima	`saagida
ja	ja
olema	olemas
ja	ja
siis	siis
saama	said
sihuke	seoksed
hea	paremad
mänd	männad
välja	`väl'ja
vaatama	vaadettud
ja	ja
siis	siss
minema	läksid
mets	`metsa
ja	ja
võtma	`võtsid
need	ned
maha	maha
ja	ja
vedama	vidasime
nemad	nad
siis	siss
siia	siije
välja	`väl'ja
ja	ja
siit	siit
Kabli	Kablis
veski	`ves'ki
peal	päl
saama	sai
seal	säl
saagima	`saettud
kus	kus
see	se
praegu	`praegult
Puka	Pukka
või	või
see	see
Jaagupi	Jaaguppi
veski	`ves'ki
olema	on
seal	sääl
saagima	`saagisime
nemad	nad
olema	ol'lid
siis	ss
mitu	mittu
meeter	`meettert
vata	vatta
nii+moodi	nii+modi
viis	viije
kuus	kuuwe
meeter	`meetri
kuus	kuuwe
ah	ah
seitse	`seitsme
kaheksa	kahessama
või	või
üheksa+kümmend	ühessama+`kümne
meeter	`meetri
pikkune	pikkused
olema	ol'lid
need	nee
mänd	männad
siis	s
saama	sai
seal	sääl
ära	ära
saagima	`saettud
siis	siis
Häädemeeste	Ääde+meestel
seal	sääl
sihuke	`seokke
suur	sur
nüüd	nd
see	selle
Taavit	Taavitti
rehi	rehe
tema	temal
olema	ol'li
sihuke	`seokke
suur	suur
vana+aegne	vana+`aegne
rehi	rehe
tuba	tuba
siis	siiss
seal	sääl
kuivatama	kuivattasime
tema	tal
käima	käiss
ülalt	ülalt
sinna	senna
auk	auk
sisse	sisse
ja	ja
pikk	pikkad
laud	lauwad
olema	ol'lid
siin	sii
es	ess
saama	saa
kuskil	`kuskil
kuivatama	kuivattada
need	neid
siis	siss
seal	sääl
kuivatama	kuivattasime
need	need
ära	ära
need	nee
plank	plangud
või	või
laud	lauwad
ja	ja
siis	siss
panema	panime
peale	pääl
ja	ja
minema	läksime
Pärnu	`Pärnu
ja	ja
Pärnu	`Pärnus
sae+veski	sae+`ves'ki
või	või
seal	säl
nüüd	nüid
olema	on
tema	ta
nimi	nime
vist	vist
Punane+Nurk	Punane+Nurk
või	või
siis	siss
seal	sääl
hööveldama	ööveldasime
nemad	nad
ära	ära
jälle	jälle
kaks	kahelt
poolt	polt
külg	kül'jest
ja	ja
siis	siss
saama	said
nemad	nad
ära	ära
tooma	`toodud
ja	ja
siin	siin
all	all
siis	siss
siin	sii
üks	üks
vana	vana
rehi	rehe
olema	ol'li
rehe+tuba	rehe+tuba
ja	ja
seal	sääl
siis	siss
see	se
tegema	tegim
siis	s
hakkama	`akkasim
see	seda
paat	`paat'ti
tegema	tegima
see	see
olema	`ol'li
suur	suur
paat	paat'
kolm+kümmend	kolm+kümmend
viis	viis
jalg	`jalga
e	e
ootama	`ootta
ootama	`ootta
nüüd	nd
nojah	nojah
kiil	kiil
olema	ol'li
kolm+kümmend	kolm+kümmend
viis	viis
jalg	`jalga
pikk	pikk
ja	ja
pealt	päält
mõõt	`mõõttu
olema	`ol'li
neli+kümmend	neli+gümmend
kaks	kaks
jalg	`jalga
nagu	nagu
vana	vana
mõõt	mõõdude
järele	järel
kuus	kuus
süld	`sülda
tulema	`tul'li
tema	ta
pikkus	pikkus
ja	ja
siis	siss
tegema	tegim
tema	tend
mis	mis
meie	me
tegema	tegime
meister	`möister
olema	ol'li
Pärnu	`Pärnust
e	e
kaks+kümmend	kaks+kümend
päev	`päeva
siin	sii
saama	sai
sada	sada
rubla	rubla
päev	`päevas
ja	ja
sööma	`süija
ja	ja
viin	`viina
ka	kaa
ja	ja
ja	ja
siis	siss
ja	ja
ise	isi
siis	siss
jääma	jäi
poolik	poolik
töö	töö
veel	veel
siin	si
tegema	teha
siis	s
see	selle
tegema	tegime
ise	isi
valmis	`val'mis
ja	ja
siis	s
hakkama	`akkasime
tema	tend
üks+kord	üks+kord
meri	`merre
ajama	aema
aga	a
siis	s
üks	üks
ainuke	aenukke
kakuam	kakku
olema	ol'li
meie	meil
see	sell
aeg	aeal
siis	sis
alles	alles
e	e
kümme	kümme
mees	meest
olema	ol'li
aga	aga
kaks	kaks
noort	noort
minema	läksid
ära	ära
kroonu	roonu
teenistus	teenistusess
ja	ja
kaheksa	kahessama
mees	mehega
jääma	jäeme
siis	siss
see	sell
aeg	aeal
olema	olli
traktor	`traktorisi
olema	ol'li
olema	ol'li
vähe	vähä
hobune	oobustega
ajama	aeasime
siit	siit
no	no
kilo+meeter	kilu+`meetter
maa	maad
olema	ol'li
sealt	säält
välja	`väl'ja
viima	`viija
kolm	kolm
päev	`päeva
aeg	`aega
vedama	vidasime
hobune	obusse
ja	ja
tali	talidega
tema	tend
enne	enne
kui	ku
meie	me
tema	ta
siis	siss
meri	`merre
saama	saeme
ja	ja
siis	sis
Tallinn	Talinast
saama	saeme
mootor	`moottori
suur	suure
mootor	`moottori
diisel+mootor	`tiisel+`moottori
kaks+kümmend	kahe+gümne
viis	viije
hobune	obuse
jõuline	`jõuline
see	sellega
minema	läks
siis	siiss
jälle	jälle
meie	meil
kulu	kulu
ja	ja
raha	raha
maksma	`maksim
ja	ja
olema	`ol'li
kui	kui
saama	sai
tema	ta
sisse	`sisse
panema	`panttud
ja	ja
saama	sai
seal	säl
vaev	`vaeva
ja	ja
töö	tööd
küll	küll
tegema	`tehtud
mõtlema	`mõtle
siis	siis
olema	`ol'li
jõud	`jõudu
nüüd	nüd
olema	o
viie+kümnes	viije+`gümnemal
ja	ja
viie+kümnes	viije+`gümnemal
aasta	`aastal
tegema	tegin
aga	aga
nüüd	nüid
nägema	näed
olema	`ol'li
jõud	`jõudu
aga	aga
nüüd	nüid
ei	ei
olema	jole
enam	änam
jõud	jõud
olema	o
kaduma	kadunu
kaduma	kaob
päev	päev
päev	päävalt
kh	kh
nelja+kümne+üheksas	nel'la+`gümne+ühessamal
aasta	`aastal
hakkama	`akkas
see	see
kolhoos	kaloos
siin	sii
ja	ja
siis	ss
meie	me
viie+kümnes	viije+gümnel
aasta	`aastal
tegema	tegim
siis	siiss
see	selle
paat	paad'i
no	no
esmalt	`esmalt
käima	käisim
väike	`väikse
paat	paad'idega
nagu	nagu
mootor+paat	`moottor+paad'idega
ja	ja
käima	käisim
meri	meres
võrk	võrkkudega
räim	`räimi
püüdma	`püidmas
