mitte	*mitte
vaim	*vaimudest
mina	maa
ei	ij
olema+ki	olegi
e	e
nagu	nigu
enne	*enne
olema	õlid
töö	tüe
vaim	*vaimud
mina	ma
ei	i
olema	ole
olema	*olnud
ei	ei
teadma	tia
niske	*niiskest
asi	*asjast
miski	*miski
tema	ta
olema	õli
haige	*aige
see	*selle
pärast	pärast
minema	läks
ära	ära
tema	ta
olema	õli
aasta	*aasta
päev	*päävad
ju	ju
seal	sial
haige	*aige
ju	ju
ei	eij
olema	olt
mina	maa
väike	*veikkese
väikene	*veikkene
maa+pidaja	maa+bidaea
kolm	kolm
päev	*pääva
tegema	tegi
nädal	näädalas
mõis	*mõisus
kolm	kolm
päev	*pääva
käima	käis
iga	iga
iga	iga
nädal	nädal
mõis	*mõisus
surema	suri
ära	ära
kui	kui
e	e
sealt	sialt
ära	ära
tulema	tuli
siis	siis
tulema	tuli
moona+mees	*muona+meste
küla	külas
andma	*annetti
tema	täle
prii	prii
korter	*korttel
ja	ja
prii	prii
puu	puud
ja	ja
ja	ja
siis	siis
e	e
kevad	kevade
kolima	kolis
juri+päev	juri+bä
ja	ja
siis	siis
sügis	sügise
surema	suri
see	*selle
suvi	suve
elama	elas
veel	vel
küla	külas
ja	ja
siis	siis
enam	enamb
rohkem	*rohkem
ei	ei
elama	eland
kah	kahh
ema	ema
elama	elas
veel	viel
siis	sis
kaks	kaks
aasta	*aastad
peale	*piale
tema	täda
ja	ja
ja	ja
siis	siis
ema	ema
surema	suri
ka	kaa
ära	ärä
ja	ja
mina	maa
olema	olin
mees	mehel
siis	sis
jah	jahh
siis	siis
olema	õlin
mees	mehel
mina	ma
ikka	*ikke
viima	*viisin
enne	*enne
ema	ema
oma	oma
juurde	*juurde
ka	kaa
üks	ühe
nädal	nädäla
päev	*päävad
saama	sai
mina	minu
juures	*juures
olema	*olla
siis	siis
surema	suri
mina	minu
juurde	*juurde
surema	suri
mina	maa
olema	olin
siis	siis
Järve	Järve
mõis	*mõisas
siis	sis
siis	sis
viima	viisin
ema	ema
oma	oma
juurde	*juurde
siis	s
ema	ema
sinna	*sinna
surema	suri
jah	jahh
olema	olen
olema	old
olema	olen
need	neid
peen	*pienemaid
inimene	inimesi
teenima	*tienind
ja	ja
ja	ja
vahe+peal	vahe+bäl
siis	sis
olema	olin
jälle	*jälle
kodu	kodu
ja	ja
vend	vend
jääma	jäi
haige	*aigest
vend	vend
surema	suri
ära	ärä
siis	siis
isa	isa
kutsuma	*kutsus
mina	mind
kodu	kodu
ja	ja
siis	sis
minema	*läksin
jälle	*jälle
kodu	kodu
ja	ja
aitama	*aittasin
need	neid
ja	ja
siis	siis
minema	*läksin
mees	mehele
ja	ja
ja	ja
nii+viisi	nii+*viisi
mina	ma
olema	olen
elama	eland
puu+töö+tegija	puu+düö+degija
ei	eei
olema	ole
koht	kohas
mina	maa
mina	maa
ei	ij
olema	ole
olema	old
väike	*veikkesed
maa	maad
olema	olivad
ja	ja
kus	kuss
isa	isa
kolm	kolm
päev	*pääva
nädal	nädälas
mõis	*mõisas
tegema	tegi
ja	ja
enam	enamb
isa	isa
ei	ei
jaksama	*jaksand
mõis	*mõisas
tegema	teha
ja	ja
mina	minu
mees	mies
ei	ei
hakkama	*akkand
esiti	*este
pidama	pidi
hakkama	*akkama
ja	ja
ja	jaa
tulema	tuli
oma	oma
kodu	kodu
ütlema	üts
et	et
nüüd	nüüd
minema	lään
äi	*äija
koht	koha
peale	*piale
ja	ja
isa	isa
ütlema	*ütles
tema	tämä
isa	isa
ütlema	*ütles
et	et
mis+pärast	mis+pärast
see	*selle
amet	*ammetti
olema	õled
õppima	*õppind
siis	sis
kui	kui
sina	saa
e	e
nüüd	nüüd
minema	lähäd
Ädi	Ädisse
mõis	*mõisa
moona+mees	*muona+mehest
isa	isa
ei	ei
tahtma	tahand
see	seda
et	ett
tema	ta
sinna	*sinne
mõis	*mõisas
pidama	pidi
hakkama	*akkama
käima	*käimä
tema	taa
olema	õli
tisler	*tisleri
juures	*juures
kolm	kolm
aasta	*aastad
õppima	*õppimas
ja	ja
siis	siis
ei	eij
olema	ole
oma	oma
kari	*karjas
olema	olen
käima	käind
siis	siss
üks	ühe
kord	kõrra
pidama	pidin
minema	minema
ja	ja
olema	olin
juba	juba
kodunt	kodunt
väljas+ki	*väljaski
ja	ja
parun	parun
panema	pani
isa	isa
maa	*maade
peale	*piale
ja	ja
siis	siis
isa	isa
tulema	tuli
viima	viis
