koda	koda
kohe	kohe
olema	ol´li
nüüd	nüid
panema	`panttud
latt	`lat´tidest
nii	nii
püsti	`püs´ti
ja	ja
siis	siis
olema	ol´li
seda+viisi	sedä+visi
et	et
seal	säl
siis	sis
keetma	keedetti
keset	keset
olema	`ol´li
nüüd	nüid
siis	sii
suur	suur
sama	sama
kus	kus
need	neit
ikka	`ikke
keetma	keedettasse
olema	ol´li
siis	sii
seal	siäl
seal	säl
kapp	kipp
või	või
mis	miss
tahes	`tahte
no	no
mõni	mõnel
olema	ol´li
nüüd	nüt
päris	periss
puu	puust
kook	kuuk
jah	jahh
ja	ja
seal	siäl
olema	ol´li
pada	pada
otsas	ots
ja	ja
kivi	kivid
olema	ol´lid
siis	sis
seal	siäl
all	all
ja	ja
siis	sis
sinna	`sinna
tegema	`tehti
tuli	tul´i
ja	ja
siis	siss
muud+kui	mut+ku
keetma	keedetti
seal	siäl
ega	egä
seal	siäl
siis	ss
ei	ei
sööma	`süüdud
viima	`viidi
ikka	`ikke
talu+maja	talu+maeasse
siis	sii
söömine	`süümese
kraam	raam
aga	aga
siis	siss
ikka	`ikke
suvel	suvel
keetma	keedetti
seal	siäl
pesu	pesu
pesema	`pes´ti
seal	seäl
ja	ja
suur	suret
pesu+küna	pesu+künad
ots	otsad
olema	ol´lid
kõik	kõik
siuke	siukkest
tegema	`tehtud
äär	ääred
ilusti	ilusti
just	just
kurikas	kurikkaga
lõhkuma	lõhutti
seal	seäl
pesu	pesu
pesema	`pesta
ikka	`ikke
seal	siäl
köök	küögis
noh	nohh
siis	siss
siuke	siukke
asi	asi
olema	ol´li
siin	sii
ja	ja
siis	siss
kui	kui
tema	tal
ee	ee
uks	uks
käima	käis
seda+viisi	sedä+visi
tema	tal
kinni	`kin´ni
noh	nohh
nagu	nigu
tema	ta
längu	`län´gu
olema	onn
sedasi	sedäsi
laduma	`laottud
see	see
uks	uks
käima	käis
seda+viisi	sedä+visi
ka	kaa
ikka	`ikke
peale	`piäle
seda+viisi	sedä+visi
kukkuma	`kukkus
kinni	`kin´ni
puu+püür	puu+püür
olema	ol´li
ees	iis
hull	ull
küll	küll
jah	jahh
siuke	siukke
he	he
aa	aa
olema	põlnd
lukk	`lukku
ei	eij
olema	olnd
keegi	kedägi
jah	jahh
kuidas	kuid´as
puu	puijest
puu	puijest
latt	`lat´tidest
kohe	kohe
latt	`lat´tidest
laduma	`laottud
kohe	kohe
püsti	`püs´ti
ja	ja
ülesse	ülesse
ja	ja
seda+viisi	sedä+visi
ja	ja
siis	siss
seal	siäl
