jaah	jaahh
kolm	kolm
tõrv	törva
märk	`märkki
tegema	`tehti
kõige	keige
enne	ennem
tegema	`tehti
loom	loomale
laut	`lauttas
üks	üks
ots	`otsa
kaks	kaks
tükk	`tükki
siia	`siija
ette+poole	eel+bole
süda	südame
tõrv	törva
märk	märgid
ning	ning
siis	siis
tooma	`toodi
raud+kang	raud+kang
suur	suur
kirves	kirves
peo+täis	püu+däis
sool	`soola
tükk	tükk
tõrv	`törva
see	see
panema	`pandi
siis	sis
hunnik	unnikku
värav	värava
vahele	vahele
ning	ning
loom	loomad
laskma	`lasti
sealt	säält
üle	üle
aga	äga
mina	maa
ju	ju
ää	ää
loom	loom
sõrgama	`sürgasi
üle	üle
mina	maa
kartma	`kartsi
et	et
loom	loomad
minema	`lähtvad
küla	küla
mina	maa
selle+pärast	selle+bärast
sõrgama	`sürgasi
üle	üle
masin	masina
et	et
jälle	`jälle
masin	masina
üle	üle
tõrv	törva
hunnik	unnigu
või	vöi
sealt	sält
üle	üle
raud	raud
et	et
jälle	`jälle
ema	ema
tõmbama	`tömbas
mina	`moole
kepp	keppiga
selg	`selga
kus	kus
sina	sa
kuri+vaim	kuri+vaim
nüüd	nüid
minema	lähed
nüüd	nüid
rikkuma	`rikkusid
lehm	lehmad
ära	ää
mina	maa
ütlema	`itle
et	et
mis+moodi	mis+`moodi
mina	maa
nemad	neid
rikkuma	`rikkusi
mina	maa
hoidma	oea
küla	külast
ära	ää
lehm	lehmad
et	et
nemad	nad
ei	ep
saama	saa
küla	küla
minema	`minna
nemad	naad
e	e
pidama	pidad
ju	ju
karja+maa	karja+male
minema	minema
jah	jahh
olema	oli
sool	sool
tarvis	tarist
üle	üle
minema	`minna
aga	äga
kui	kui
nüüd	nüid
lehm	`lehmtel
e	e
miski	midad
viga	viga
olema	onn
kust	kust
sina	sa
võtma	vöttad
nüüd	nüid
see	see
arst	arsti
tooma	too
ise	ise
arst	arstid
koht	kohale
mina	maa
ütlema	`itlesi
mis	miss
arst	`arsti
siia	`siija
tarvis	tarist
olema	onn
loom	loomal
olema	onn
vits	vits
arst	arstiks
perse	`perse
ümber	`ümber
tõmbama	tömmatta
ning	ning
minema	minga
väli	väljale
noh	nohh
see	sellest
olema	oli
küll	küll
nooh	noohh
siis	siis
kui	kui
õhtul	`öhta
ära	ää
tulema	`tuldi
karjane	karjane
see	sellel
olema	oli
siis	siiss
kott	koit
kael	`kaelas
see	see
e	e
nüüd	nüid
see	seda
leotama	`liudatti
siis	siis
pidama	pidid
emane	emased
vasikas	vassigud
olema	olema
kui	kui
tema	taa
leotama	`liuttamatta
jääma	jäi
siis	siis
siis	siis
ei	ess
õnnestuma	önnista
jälle	`jälle
loom	looma
sigimine	sigimene
mitte	`mette
aga	äga
ikka	`ikka
iganes	iganis
loputama	loppudetti
olema	olga
see	see
lammas	lammas
või	vöi
olema	olga
see	see
mis	miss
loom	loom
tahtma	tahab
või	vöi
ikka	ikka
saama	sai
leotamine	`liuttamist
tuhat	tuhat
tuline	tulist
rookima	roogitti
kapp	kappaga
kael	`kaela
üks	üks
olema	oli
siin	sii
kapp	kappaga
nurk	nurga
taga	taga
teine	teine
teine	`teises
koht	kohas
see	see
saama	sai
siis	siis
igavene	igavese
mädi	mädi
see	selle
päev	`päävaga
see	selle
karjane	karjatsele
nüüd	nüid
kui	kui
karjane	karjane
minema	läks
vastla+päev	`vastla+bä
siis	siis
tegema	`tehti
leib	leib
tegema	`tehti
valmis	`valmis
üks+kord	ühe+gorra
Roosta	Roosta
Ingel	`Ingel
ütlema	`itles
taevane	`taevane
jumal	jumal
leib	leib
olema	onn
nii	nii
kõva	köva
et	et
sina	sa
ei	p
saama	saa
hammas	ammastega
jagu	jägu
ning	ning
nüüd	nid
panema	pannasse
mina	`moole
selts	`seltsi
kild	killud
käima	käivad
hammas	ammaste
vahelt	vahelt
ära	ää
see	see
panema	`pandi
siis	siis
see	see
siis	siis
härg	ärja
rind	rind
panema	`pandi
keema	`keema
ning	ning
siis	siss
see	se
vesi	vesi
panema	`pandi
see	selle
kakk	kakku
sisse	`sisse
ning	ning
siis	siiss
siis	siiss
see	see
see	se
noh	nohh
küpsetama	küpsedetti
ära	ää
ning	ning
see	see
andma	`antti
siis	siss
karjane	karjane
pidama	pidi
siis	siiss
see	seda
sööma	`sööma
see	sell
päev	pääval
kui	kui
tema	ta
esimene	esimest
kord	kord
kari	`karjas
olema	oli
vastla+päev	`vastla+bä
jah	jahh
vastla+päev	`vastla+bä
noo	noo
e	e
eelmine	`eelmise
õhtu	`öhta
panema	`pandi
leib	leib
sisse	`sisse
ning	ning
vastla+päev	`vastla+bä
tegema	`tehti
leib	leib
ning	ning
aga	äga
karjane	karjane
kas	kass
minema	minga
siis	ss
mai+kuu	mai+kuus
loom	loomad
väli	väljale
või	vöi
millal	millal
tahtma	tahab
aga	aga
siis	siiss
sina	sool
olema	oli
see	se
kakk	kakk
selts	`seltsis
vana	vana
Ingel	`Ingel
ütlema	`itleb
jah	jahh
et	et
kild	killud
käima	käivad
hammas	ammaste
vahelt	vahelt
mina	mool
olema	pole
hammas	`ambud
ka	kaa
enam	änam
suu	suus
no	no
mis	mis
sina	sa
tahtma	tahad
tegema	teha
jagu	jägu
ei	p
saama	saa
mitte	`mette
kuidagi	kuidad
a	a
no	no
Liisu	Liisu
olema	onts
sina	sool
pehme	`pehmemad
leib	`leiba
tooma	too
mina	`moole
pire	pire
et	et
mina	ma
suutma	suuda
kodu	koeu
käima	`käija
siin	sii
meie	meitte
värav	värava
taga	taga
sedasi	sedasi
e	e
vana	vana
ohkama	`öhkas
siis	siss
seal	säl
loom	`loomade
juures	juures
ei	äi
saama	saa
ei	äi
saama	saa
mitte	`mette
leib	leivast
jagu	jägu
jah	jahh
olema	onn
olema	onn
olema	onn
olema	oli
üks+kord	ühe+gorra
seadus	`säädussi
ning	ning
asi	`asju
oh	ohh
sina	sina
taevane	`taevane
mis	miss
mis	miss
mina	ma
siis	siss
rääkima	räägi
tuhka+päev	`tuhka+bä
tuhka+päev	`tuhka+bä
ei	es
olema	ole
muu	muud
seadus	`säädust
miski	midagid
et	et
ei	s
tohtima	tohi
pea	pääd
sugema	sugeda
juuksed	`iused
pidama	pidid
minema	minema
noh	nohh
kui	kui
meie	mee
käima	käisime
kool	`koolis
sina	saa
pidama	pidid
teine	teise
õhtu	`öhta
juuksed	`iused
lahti	`lahti
sugema	sugema
lahke	`lahkeks
sugema	sugema
et	et
sina	saa
teine	teise
päev	pääva
võima	vöisid
kool	`kooli
minema	`minna
siis	siss
juuksed	`iused
pidama	pidid
tuhk	tuha
karv	`karva
olema	olema
siis	siis
ei	ess
saama	saa
see	see
tegema	tegi
juuksed	`iused
hall	alliks
või	vöi
siuke	sihandseks
tuhm	tuhmiks
madise+päev	`matsa+bä
madise+päev	`matsa+bä
ei	s
tohtima	tohi
kodu	koeu
mitte	`mette
miski	midad
tooma	`tuuwa
aga	aga
ütlema	`itlevad
kuidas	kuida
sina	sa
uskuma	usud
sedasi	sedasi
sündima	sünnib
aga	äga
see	see
see	see
olema	onn
siis	siiss
mina	maa
nägema	nägi
see	seda
hull	`ullu
ka	kaa
oma	omas
mõte	`möttes
isa	isa
minema	läks
tema	taa
ei	ss
isa	isa
ei	ss
uskuma	usu
see	seda
nooh	noohh
vana+ema	vana+ema
keelama	`keelas
tema	ta
ema	ema
keelama	`keelas
et	et
ära	ära
minema	mine
täna	täna
miski	midad
kodu	koeu
tooma	`tooma
tooma	tood
uss	ussid
kodu	koeu
noo	noo
siis	siss
vana	vana
varuma	varus
siis	siiss
pinu	pinu
ots	`otsa
sinna	`sönna
paargu	`paargu
ots	`otsa
vastu	`vastu
panema	pane
siia	`siija
maa	maha
et	et
sina	sa
mitte	`mette
õu	`öuwe
ei	p
tooma	too
laps	lapsed
siin	sii
minema	`lähtvad
e	e
viimaks	`viimuks
jaluli	jaluli
uss	`usside
peale	`pääle
ning	ning
armas	armas
taevane	`taevane
seal	sääl
koht	kohas
e	e
noh	nohh
tegema	`tehti
puu	puud
peen	`peeniseks
ja	ja
seal	sääl
laast	`laastude
sees	sehes
uss	uiss
uperdama	upperdas
suvi	sui
otsa	`otsa
vaatama	vada
kuidas	kuida
sina	sa
uskuma	usud
sedasi	sedasi
sündima	sünnib
nooh	noohh
ega	ega
nägema	näät
sina	sa
tema	taa
kartma	`karttas
see	seda
suur	surt
uss	`ussi
et	et
nüüd	nüid
tulema	tuleb
kodu	koeu
uss	ussid
tulema	tulavad
et	et
sina	saa
ei	ss
tohtima	tohi
miski	midad
tooma	`tuuwa
ning	ning
teine	teise
kord	korra
siin	sii
olema	oli
ka	kaa
siuke	sehand
sama	samma
kunst	kun'ts
meie	meitte
pere	peres
no	no
Lause	`Lausel
mina	mool
olema	oli
suur	suur
rätik	rättik
kuduma	kududa
ema	ema
tulema	tuleb
trepp	reppist
alla	ala
mis	miss
töö	teud
sina	saa
tegema	teed
olema	pole
sina	sool
mina	muul
aeg	aeal
aeg	`aega
see	seda
tooma	`tuuwa
nüüd	nüid
täna	täna
tooma	tuuwasse
nüüd	nüid
tooma	tood
uss	ussid
kodu	koeu
noh	nohh
mina	maa
viskama	`viskasi
siis	siis
rehi	rehe
ulu+alune	ula+ala
see	see
suga	soa
ning	ning
kangas	`kanga
narmas	`narmad
ning	ning
suur	suure
rätik	rättigu
ei	p
tohtima	tohi
tuba	tuba
tooma	`tuuwa
varastama	varastaga
ära	ää
või	vöi
tegema	`tehka
mis	miss
tahtma	tahab
aga	aga
tuba	tuba
ei	ss
tohtima	tohi
tooma	`tuuwa
tooma	tood
uss	ussid
tuba	tuba
siis	siis
rehi	rehe
otsa	`otsa
sooh	soohh
õnn	önneks
uss	uiss
olema	oli
jälle	`jälle
seal	sääl
vana+mees	vana+mes
olema	oli
nägema	näind
uss	uiss
olema	olnd
seal	sääl
lipsama	`lipsand
tema	taa
olema	pole
ära	ää
tapma	`tappa
saama	saand
vaatama	vaada
vaatama	vaada
umbes	`umbest
seal	sääl
koht	kohas
kus	kos
sina	saa
asi	asjad
viskama	`viskasid
aga	äga
uss	uiss
uss	uiss
nüüd	nüid
ka	kaa
tulema	tuleb
õu	`öuwe
aga	äga
meie	mee
olema	pole
olema	pole
keegi	kedad
see	seda
uskuma	`uskund
ning	ning
olema	pole
keegi	kedad
miski	midad
tooma	toond
aga	äga
uss	uiss
tulema	tuleb
ikka	`ikka
nüüd	nüid
tapma	`tapsid
siit	siit
saun	sauna
uks	ukse
eest	eest
tapma	`tapsid
uss	ussi
ära	ää
jaah	jaahh
olema	pole
miski	midad
uss	ussi
uss	uiss
olema	onn
ikka	`ikka
oma+ette	oma+ede
käima	käib
jaah	jaah
jaah	jaahh
rend	`rendi
ei	ss
tohtima	tohi
ka	kaa
e	e
paber	`papriga
ei	ss
tohtima	tohi
rend	`rendi
pühkima	`pühkida
siis	siis
pere	pere
pidama	pidi
riid	`riidu
minema	minema
ikka	`ikka
olema	olga
see	see
päev	pää
mis	miss
tahtma	tahab
aga	aga
nägema	näät
sina	sa
paber	paberiga
ei	ss
laskma	`lasta
laud	`lauda
pühkima	`pühkida
sööma+laud	sööma+`lauda
rend	`rendi
mina	ma
juba	juba
