plats	`laatside
peal	pial
kolkima	`kolksi
sealt	sialt
truup	ruubi
kivi	kivi
truup	`truubi
kõik	kõik
sealt	sealt
tekk	tekkist
see	se
õhtu	`õhta
olema	oli
puru+väsinud	puru+väsin
ka	kua
teadma	tea
nüüd	nd
üks	üks
seitse	`setsend
viis	viis
kuus+teist+kümmend	kuus+teist
aasta	`aastad
olema	oli
vana	vana
või	või
seitse+teist+kümmend	seetse+deist
aasta	`aastad
siis	siis
mina	mia
juba	juba
minema	läksi
suur	suure
laev	laõva
peale	piäle
kokk	kokkass
aga	aga
seal	sääl
olema	oli
siis	siis
e	e
kivi	kivi
laev	`laõvudõs
mina	mia
tegema	tegi
siin	siin
Waldhof	`Valdohvi
vedama	`väetti
kivi	kivä
ja	ja
paas	`poasi
ja	ja
Riia	`Riiga
vedama	`väetti
suur	`suuri
kivi	kivä
ja	ja
siis	siis
mina	miä
olema	oli
seal	siäl
tegema	tegi
kokk	`kokka
ja	ja
tegema	tegi
töö	tüed
ka	kua
siis	siis
tekk	`tekkis
ajama	aasi
kivi	kive
alla	`alla
e	e
e	e
siis	siis
pärast	päräst
saama	sai
ju	jo
suur	suurdõ
laev	`laõvõ
peale	piäle
minema	`minnä
siis	sis
olema	oli
seal	siäl
kokk	kokkaas
paar	paar
suvi	suid
ja	ja
siis	siis
hakkama	akkasi
kivi+laev	kivi+laõva
Kihnu	`Kihnus
üks	öhe
kivi	kivi
laev	laõva
peal	piäl
käima	`käümä
siis	siis
e	e
üks	öhe
kord	korra
seal	siäl
Mat+salu	`Mat+salu
laht	lahõs
olema	oli
laadima	laatsimõ
õhtu	`õhta
olema	oli
siis	s
laev	laõ
olema	oli
seal	siäl
laadung	ladungissõ
ajam	aamal
juba	juba
ja	ja
mõtlema	`mõtlesi
et	et
mina	ma
suruma	suru
nüüd	nd
hästi	`iäste
paat	puadi
täis	täis
kivi	kive
ka	kaa
ja	ja
olema	oli
vaga	vaga
ilm	ilm
ja	ja
ja	ja
vaatama	`vaattasin
kurat	kurat
e	e
tuul	tuul
tulema	tulõb
siit	siit
nord+ost	nortt+osti
poolt	puõlt
viru	viru
tulema	tulõb
mina	mull
olema	oli
paat	`paattis
puri	purjut
ka	kua
ja	ja
mast	mas't
ja	ja
kõik	kõik
seal	siäl
klaar	klaar
ja	ja
mõtlema	`mõtlesi
mina	ma
panema	panõn
mast	masti
peale	`piäle
mast	masti
peale	`piäle
ja	ja
puri	purju
lahti	`lahti
ja	ja
hakkama	`akkasin
seal	siäl
seadma	`säädimä
