trampima	`tramppist
sedasi	sedass
ümber+ringi	`ömber+`ringi
siis	siis
nägema	nää
tegema	tegid
jälle	jälle
oder	odrad
sedasi	sedass
ära	ää
nägema	nä
ja	ja
luu	luid
peksma	`peksti
jälle	`jälle
rehi	rähe
suits	suitsu
rehi	rähäd
inimene	inimest
tulema	tulid
hommik	umigu
vara	vara
tulema	tulid
üles	üless
tulema	tulid
jälle	jäll
suits	suitsu
rehi	rähele
hakkama	`akkast
rabama	rabama
pink	pingi
vastu	`vastu
siis	siis
vili	vili
tulema	tuli
välja	välja
tuulama	`tuulast
ära	ära
ja	ja
panema	panid
ait	`aitta
õu	öuwes
tuulama	`tuulast
ära	ära
pink	pink
olema	oli
üsna	üsna
üsna	üsna
vähe	vähä
kõrge	`körge
sedasi	sedasi
et	et
hästi	`easti
lööma	`lüija
saama	sai
olema	pole
väga	väga
madal	madal
mitte	`mitte
olema	olnd
pink	pink
olema	oli
seas	seas
neli	neli
jalg	`jalga
olema	oli
all	all
ja	ja
suur	sur
nurjatum	nurjattum
pikk	pitk
olema	oli
ja	ja
teine	teise
ots	otsa
peal	peal
olema	oli
seisma	seist
kaks	kaks
inimene	inimest
teine	teine
panema	pani
korda+mööda	`korda+`mööda
ja	ja
teine	teine
panema	pani
korda+mööda	`korda+`mööda
olema	polnd
mitte	`mette
üks	ühe
kord	korraga
panema	pannud
et	et
sina	sa
kaks	kaks
inimene	inimest
üks	ühe
kord	korraga
panema	panid
va	va
üks	ühe
ots	otsa
peal	peal
ei	äi
olema	jole
teine	teine
panema	pani
teine	teise
kord	korra
olema	olid
neli	neli
tükk	`tükki
olema	oli
seal	seal
neli	neli
inimene	inimest
olema	olid
iga	ega
teine	teise
ots	`otsas
seisma	seist
kaks	kaks
ja	ja
siis	siss
lööma	löid
seast	seast
viht	vihu
seest	seest
vili	vilja
välja	`välja
jaa	jaa
latv	laadvast
jah	jahh
kus	kuss
nüüd	nüid
pea	pead
olema	onn
ja	ja
seal	sääl
see	see
vili	vili
olema	onn
seal	seal
lööma	löödi
ja	ja
siis	siss
teine	teisega
pärast	parast
lööma	löödi
jälle	jäll
see	see
tüvi	tüü
poolt	poold
ka	kaa
kus	kuss
seal	seal
vili	vilja
tüvi	tüi
olema	oli
olema	pole
ladva+alune	ladva+alune
seda+moodi	seda+mud
olema	olli
ohh	ohh
mis	miss
siis	siis
tegema	tehti
siis	siis
viima	viidi
koda	koda
ja	ja
panema	`pantti
sedasi	seasi
kõik	köik
järjest	järjest
sedasi	`seasi
maha	maha
ja	ja
siis	siis
panema	`pantti
suur	suur
puu	`puuga
pihta	`pehta
veel	vel
hüüdma	`üitti
noh	nohh
mis	miss
asi	asjaks
see	se
nüüd	nüid
ikka	`ikka
hüüdma	`üitti
nägema	näät
sina	sa
mina	mull
olema	pole
enam	nam
meel+ki	`meeleskid
varp	varp
varp	varbaga
näh	nähh
see	se
olema	oli
puu	puust
tegema	`tehtut
üks	üks
seune	seun
suur	sur
kõver	köver
puu	puu
ja	ja
panema	panid
sedasi	sedasi
üle	üle
õlg	öla
ja	ja
panema	`pantti
partsat	partsat
ja	ja
partsat	partsat
sedasi	seasi
see	senne
latv	ladva
peale	`pääle
vili	vilja
latv	ladva
peale	`pääle
et	et
siis	siis
tulema	tuleb
veel	veel
välja	`välja
sedasi	sedass
tegema	tehti
siis	siis
tulema	tuleb
veel	veel
välja	`välja
vili	`vilja
m	m
ä	ä
kaks	kaks
teine	teine
olema	oli
ees	ees
teine	teine
olema	oli
