kosjas	kosjas
käima	köija
käima	`küidi
tulema	`tuldi
eh	ehh
kolm	kolm
mees	meest
olema	oli
isa+mees	isa+mees
olema	oli
siis	siis
tulema	tuli
eh	ehh
tuba	`tuppa
noh	nuhh
hakkama	`akkas
küsima	küsima
kas	kass
siin	siij
olema	onn
mõni	`mõnda
noor	noort
puul	`puula
müüma	`müija
ja	jaa
kui	kuij
ütlema	`üetti
et	et
noh	nohh
olema	on
küll	küll
aga	aga
kuidas	kudas
siis	siss
kaup	kaobasse
saama	saab
ja	jaa
siis	siis
e	e
kui	kui
kaup	kaobasse
saama	sai
kui	kui
lubama	lubatti
et	et
e	e
et	et
e	e
noh	nuhh
tulema	tuleb
küll	küll
ja	ja
siis	siiss
enne	`enne
ei	ei
tooma+ki	*toodutki
viina+pudel	viina+pudelid
või	või
veini+pudel	veini+pudelid
ära	ära
enne	enne
kui	kui
jälle	jälle
mm	mm
see+samune	se+sammune
e	e
kaup	kaup
valmis	`valmis
olema	oli
ja	ja
siis	siiss
jooma	`joodi
viin	viinad
ära	ära
ja	ja
jälle	jälle
ja	ja
siis	siiss
saama	sai
kaup	kaup
ja	ja
siis	siis
tegema	`tehti
söök	söögid
valmis	`valmis
siis	sis
sööma	`söödi
ka	koa
veel	vel
ja	ja
ja	ja
siis	siiss
olema	oli
nii	nii
nädal	nädali
pärast	pärast
olema	oli
e	e
siis	siss
nii	nii
käe+and	käe+`anded
või	või
naa	naa
õpetaja	õppettaea
juurde	juure
minemine	menemene
kihlumine	`kihlamene
või	või
kuidas	kudas
tulema	tuleb
ütlema	üttelda
sõrmus	sõrmuse
vahetamine	vahettamene
jah	jahh
ja	ja
ja	ja
siis	siis
jah	jahh
tegema	`tihti
veimed	`veimi
ja	ja
siis	siis
hakkama	`akkasid
veimed	veime
tegemine	tegemene
kolm	kolm
neli	neli
õhtu	`õhtad
püha+päev	püha+bä
õhtu	`õhtad
ja	ja
kus	kuss
siis	siiss
pidama	pidi
üks	üks
kolm	kolm
neli+kümmend	neli+kümmend
paar	`paari
e	e
need	näid
veimed	veeme
kimp	`kimppa
olema	olema
eh	ehh
vat	vatt
enne	`enne
olema	olid
ju	jo
asi	asjad
aga	aga
nüüd	nüid
olema	on
kaduma	kadund
see	see
juba	juba
üks	üks
üks	üks
üks	üks
üks	üks
kolm+kümmend	kolm+kümend
aasta	`aastad
olema	on
kaduma	kadund
see	seda
enam	änam
ei	eij
olema	ole
ja	ja
siis	siiss
jagama	jagatti
pulm	pulmad
olema	olid
kutsuma	kutsutti
pulmaline	pulmalest
ja	ja
siis	ss
minema	`mindi
laulatama	laolattama
ja	ja
panema	pandi
siis	siss
kui	kui
noorik	noorikku
maja	maeasse
tulema	`tuldi
peiu+poiss	peiju+poiss
tõmbama	`tõmmas
eh	ehh
põll	põlle
ja	ja
e	e
võtma	`võttis
e	e
põll	põlle
ja	ja
panema	pani
sina	su
ette	`ette
tõmbama	`tõmmas
sina	sulle
põll	põllega
vastu	`vastu
pea	piad
sedasi	sedasi
kõrv	`kõrba
unustama	unusta
uni	uni
tuletama	tuletta
tanu	tanu
ja	ja
siis	siis
saama	sai
jälle	jälle
see+samune	se+sammune
jälle	jälle
tanu	tanu
pähe	pähä
panema	`pandud
ja	ja
koju	koeo
tulema	`tuldud
ja	ja
siis	siiss
laud	lauwa
ots	`otsa
ja	ja
siis	siss
lugema	`luetti
ja	ja
siis	siis
hakkama	akkatti
sööma	`sööma
ja	ja
no	no
siis	siiss
hakkama	`akkas
pulm	pulm
peale	`peale
siis	siis
tõmbama	tõmmatti
nii	niij
et	et
siis	siss
katsuma	katsutti
vaatama	vadatti
kas	kass
pruut	pruudi
või	või
noorik	noorikkul
ka	koa
hea	iad
jalg	jalad
all	all
olema	on
viima	*viidi
tantsima	`tantsima
ja	ja
kaks	kaks
kolm	kolm
päev	`päeba
ajama	`aetti
hundi+händ	undi+`ända
käima	`küidi
laul	laulu
no	no
kes	kis
siis	sis
naa	naa
jõudma	jõud
siis	siis
need	näid
kraam	`raami
naa	naa
palju	paeluss
või	või
kinnas	`kindud
tegema	tiha
kus	kuss
need	näid
olema	oli
siis	ss
aga	aga
andma	antti
käima	`küidi
inimene	inimeste
juures	`juures
iga	igas
pere	peres
ja	ja
viina+pudel	viina+pudel
olema	oli
ka	koa
tasku	`taskus
ja	ja
ja	ja
pruut	pruut
käima	küis
ja	ja
ja	ja
sugulane	sugulased
tuttav	`tuttavad
ju	ju
see	se
võõras	võeras
just+kui	`jus+kui
saama	sai
kinnas	`kindud
ja	ja
sokk	sokkisid
ja	ja
vöö	`öösid
ja	ja
siis	siis
saama	sai
suur	sure
hulk	ulga
ja	ja
vill	`villu
ka	kaa
ja	ja
siis	siiss
kraasima	kraasitti
need	näid
ja	ja
kutsuma	kutsutti
jälle	jälle
palju	paelo
palju	paelo
kokku	`kokku
ja	ja
siis	siis
kuduma	koeotti
kinnas	`kindud
kolm	kolm
neli	neli
õhtu	`õhtud
nii	niij
et	et
saama	sai
ikka	`ikke
palju	paelo
palju	paelo
valmis	`valmis
seal	seal
ja	ja
siis	siis
e	e
kirstu+mees	kirstu+mihed
olema	olid
tulema	tulid
sinna	`senna
kus	kus
no	no
e	e
peig+mees	`pei+mes
olema	oli
noh	nohh
pulma+maja	pulma+maeasse
peig	peiju
see	se
kirstu+mees	kirstu+mihed
olema	olid
ka	koa
ja	ja
siis	siis
kui	kui
kirst	kirstu
lahti+tegemine	`lahti+tegemene
olema	oli
siis	siis
hakkama	`akkasid
e	e
nagu	nagu
et	et
võõras	võeras
laev	laeb
olema	oo
sisse	`sisse
tulema	tund
vedama	vädasid
praht	`prahti
alla	`alla
mis	miss
kole	kole
asi	asi
et	et
et	et
see	see
pidama	piab
juba	juba
raha	raha
maksma	`maksma
see	seda
muidu	muidu
ei	ei
või	või
pidama	pidada
pidama	piab
raha	raha
maksma	`maksma
ja	ja
siis	siis
tegema	`tehti
lahti	`lahti
ja	ja
siis	siis
hakkama	akkatti
kimp	`kimppa
jagama	jagama
kolm	kolm
neli+kümmend	neli+kümmend
ja	ja
viis+kümmend	viis+kümmend
kimp	`kimppu
võtma	`võetti
ja	ja
noor	noorde
mees	meestel
olema	oli
kõik	kõik
nii+moodi	nii+moodi
e	e
kinnas	`kindad
panema	`pandi
ja	ja
