vanasti	vanas'ti
ajama	`aetti
vagu	vagu
lahti	`lahti
ja	ja
siis	siis
olema	ol'id
härg	ärjäd
teo+mees	tio+mees
ajama	aeas
härg	`ärgegä
vagu	vao
lahti	`lahti
ja	ja
ja	ja
korv	kor'b
käes	käe
ja	ja
inimene	inimene
noppima	`noppis
seal	seäl
need	neid
kartul	kardult
korv	`kor'vi
ja	ja
teo+mees	tio+mes
olema	ol'i
kast	kas'tiga
järel	järel
ja	ja
saama	said
kast	`kas'ti
kallama	kallatta
kui	kui
see	se
täis	täis
saama	sai
siis	siiss
tulema	tuli
jälle	jälle
teine	tene
tühi	tühi
ja	ja
jälle	jälle
korv	kor'v
täis	täis
saama	sai
saama	said
jälle	jälle
suur	`suure
kast	`kas'ti
kallama	kallattud
see	se
olema	ol'i
mõis	mõesa
põld	põld
Haimre	`Aimre
mõis	mõesa
ei	ei
muu	muud
keegi	kedägi
korv	kor'b
kätte	`kätte
ja	ja
ja	ja
kodunt	`kottu
võtma	`võt'sid
ikka	`ikka
leiva+kannikas	lievä+ganiga
ka	kua
lõuna	`lõunaks
ja	jaa
tund	tun'd
aeg	`aega
olema	oli
lõuna	lõõnat
ka	kaa
siis	siis
ja	ja
ja	ja
nii+moodi	nii+modi
saama	sai
see	se
päev+tõus	päävä+tõusust
nii+kaua	nii+gauwa
kui	kui
sina	sa
õhtul	`õhta
nägema	nägid
siis	siis
see	see
olema	oli
siis	s
terve	terve
päev	päe
ja	jaa
saama	said
kolm+kümmend+viis	kolm+gümmend+viis
kopikas	`kopka
see	sedä
mina	maa
olema	len
kraapima	`kr'aappind
küll	küll
ei	ei
üle	üle
silk	silgu
ega	egä
leib	l'eevä
ei	eij
olema	ond
lähker	`lähker
olema	ol'i
ka	koa
see	see
olema	ol'i
ka	koa
siis	s
natukene	nattukkene
piim	`piimä
olema	ol'i
ka	koa
ja	ja
hapu	apput
kali	`kal'la
ja	ja
see	see
olema	ol'i
see	see
peale+rüübe	`peäle+rüebe
ja	ja
see	see
olema	ol'i
see	se
toidus	toedus
kõik	kõik
pidama	pidi
üle	üle
elama	elämä
ja	ja
ja	ja
see	see
veel	veel
veel	veel
vana	vanem
kui	kui
mina	mina
olema	ol'in
siis	siss
nii	nii
isa	isä
rääkima	`rääkkis
et	et
mõni	mõnel
ei	eij
olema	ole
leib	`leibä
olema	ond
ja	ja
see	se
agan	agana
leib	leib
see	see
olema	ol'i
ka	kaa
käest	käest
otsas	`otses
olema	ond
ja	ja
siis	siss
kes	kiss
olema	ond
rikas	rikkas
mees	mees
see	sell
olema	ond
silk	`silkku
mõni	mõnel
olema	ond
siis	siis
sool	sool
karp	karbiga
kott	`kot'tis
ja	ja
siis	siss
see	sedä
sool	`soola
leib	`leibä
olema	oli
näkitsema	näkkitsend
ja	ja
vesi	vett
jooma	jõi
ja	ja
ja	ja
tümikas	tümmigäst
andma	`an'tti
takka	`takka
veel	veel
ja	ja
pidama	pidid
tegema	tegemä
öö	öö
kui	kui
päev	päe
öö	öö
kui	kui
päev	päe
öösel	`öössi
peksma	peksetti
rehi	`rehte
ja	ja
ja	ja
päeval	`päävä
olema	olid
väli	väl'läl
töö	tööl
kõik	kõik
päev	pääväd
aga	aga
püha+päev	pühä+vä
ikka	ik
olema	ol'i
püha	pühä
ka	koa
andma	`anttud
siis	siis
olema	ol'i
küla	küläs
jälle	`jälle
kümnik	`kümnik
olema	ond
siis	siis
see	see
vaatama	vaadand
järele	järele
kas	kass
