pahem+pidi	pahem+bidi
kasukas	kasugad
olema	old
ikka	`ikka
selg	seljas
ja	ja
suur	suured
karune	karused
müts	mütsid
pea	peas
ja	ja
nägu	näud
olema	oli
kinni	`kinni
katma	`kaettud
suur	suured
habe	abemed
olema	oli
ette	`ette
tegema	`tehtud
siis	siiss
nemad	neil
olema	olid
pilli+mees	pilli+mees
ka	ka
kaasas	`kaasas
ja	ja
tantsima	`tantsist
ja	ja
siis	siss
olema	ol'l
üks	üks
kes	kiss
kes	kiss
and	`ande
ka	kaa
korjama	`korjas
kas	kass
käkk	`käkke
või	vöi
makk	`makke
või	vöi
mis+see	mis+see
tahtma	tahedi
näh	nähh
ega	äga
siis	siss
pidama	pidid
ikka	`ikka
andma	`anma
ega	äga
siis	siis
olema	pole
sina	sust
hea	ea
hea	hea
asi	asi
olema	olnn
ega	äga
sina	saa
pidama	pidid
ikka	`ikka
andma	`andma
kes	kes
nemad	neid
siit	siit
ilma	`ilmi
jätma	`jättas
meie	meil
küll	küll
olema	pole
see	seda
olema	`olnud
et	et
nemad	neid
ilma	`ilma
jätma	`jäättud
olema	on
need	nee
olema	oo
küla+kond	külä+konna
näh	nähh
täst	täst
poiss	poisid
ja	ja
jõmpsikas	jömpsakkad
olema	olid
noh	nohh
ju	ju
tüdruk	tüdrugud
ka	kaa
seas	seas
olema	olid
kadri	kadrid
olema	old
ikka	`ikke
noh	nohh
nii+sama	nii+samma
poiss	poisid
ja	ja
tüdruk	tüdrukkud
ka	kaa
olema	pole
mina	minul
enam	änam
nemad	neid
meel	`meeles
mis	mis
nemad	nad
siis	sii
laulma	`laulsid
nemad	nad
ennem	ännem
ikka	`ikka
tantsima	`tantsist
pilli+mees	pilli+mees
mängima	`mängis
ja	ja
tantsima	`tantsist
jaa	jaa
olema	olid
õle+vihk	öle+vihk
tooma	`toodi
ikka	`ikka
jõulu+lau+päev	jöulu+`lauba
õhtu	`öhta
tuba	`tuppa
noh	nohh
laps	lapsed
ikka	`ikka
mürama	mürasid
ja	ja
kikerdama	kikkerdast
ja	ja
ja	ja
vanasti	vanasti
olema	oli
see	see
et	et
kui	ku
olema	oli
selline	`söune
palk+lagi	palk+lagi
all	all
et	et
pragu	prau
vahe	vahed
sees	sees
olema	olid
ja	ja
siis	siis
panema	`pandi
ikka	`ikka
õlg	öled
viskama	visatti
sedasi	sedasi
lagi	`lakke
kinni	`kinne
et	et
siis	siis
need	nee
paras	paraead
kasvama	`kasvasid
ja	jaa
kuidas	kuidas
tulema	tuleb
kui	kui
hea	hea
vili	vilja
kasv	kasvu
aasta	`aasta
või	vöi
mis	mis
see	see
tulema	tuleb
siis	siss
see	selle
aasta	`aasta
kui	kui
hulga	hulga
vahele	vahele
ikka	`ikka
kinni	`kinni
jääma	jähi
sinna	`senna
lagi	lae
pragu	pragude
vahele	vahele
et	t
siis	sis
tulema	tuli
ikka	`ikka
hea	hea
vili	vilja
kasv	kasv
aga	aga
kui	kui
vähe	vähe
jääma	jäi
siis	siis
pidama	pidi
kehv	kehva
vili	vilja
aasta	`aasta
tulema	tulema
näh	nähh
mina	mina
ei	äi
teadma	täa
kas	kas
nemad	nad
kas	kas
nemad	nad
ise	ise
oma+vahel	oma+vahel
siis	siis
mängima	`mängist
võrk	`vörkkudega
saama	sai
ikka	`ikka
meri	merel
käima	`käidud
ja	ja
kala	kalu
püüdma	`püittud
ise	ise
pidama	pidid
kuduma	kuduma
siis	sis
need	ned
kes	kes
tahtma	`tahtis
kuduma	kuduma
ja	ja
tegema	tegema
oma	omal
võrk	vörgud
kes	kes
tahtma	`tahtis
seal	sääl
võrk	vörk
võrk	vörgal
käima	`käija
jah	jaahh
kevadel	kevade
saama	sai
käima	`käidud
et	t
Mõisa+küla	Möisa
Mõisa+küla	Möisa+güla
rand	`randas
ikka	`ikka
ka	kaa
käima	käisid
siit	siit
äär	äärest
õige	öige
mitu	`metme
mitu	`metme
paat	paadiga
käima	`käidi
Mõisa+küla	Möisa+güla
rand	`randas
saama	sai
paar	paar
kolm	kolm
kuu	kuud
ikka	`ikka
seal	säal
ka	ka
olema	`oldut
jah	jah
nõnda	nönna
et	et
seitse	seitse
mees	meest
mahtuma	`mahtus
