poisike	pois'ikkesed	pl
pisike	pis'ikke	sg
niisukene	niisukkene	sg
pisike	pis'ikkest	pl
väike	veikke	sg
niuke	niukke	sg
nisuke	nisukke	sg
siuke	siukke	sg
pisike	pis'ikke	sg
pisike	pis'ikke	sg
niuke	`niukke	sg
niuke	`niuksed	pl
niuke	niukke	sg
niuke	niukst	pl
väike	`veiksed	pl
peenike	peen'ikkest	pl
väike	`veiksed	pl
niuke	`niuksed	pl
niuke	niukst	pl
niuke	`niuksed	pl
niuke	`niuksed	pl
niukene	`niukkene	sg
niuke	`niukke	sg
väike	`veiksed	pl
niuke	`niuksed	pl
niuke	niukke	sg
niukene	`niukkene	sg
niuke	`niuksed	pl
raske	`raske	sg
niuke	`niuksed	pl
väike	`veiksed	pl
niukene	niukkene	sg
väike	veikke	sg
niuke	`niuksed	pl
ivake	ivakke	sg
niuke	niuksed	pl
väike	`veiksed	pl
niuke	`niuksed	pl
nisuke	nisuksed	pl
niisuke	niisukkesed	pl
Vaike	Vaikke	sg
nisuke	nisused	pl
nisuke	nisuksed	pl
nisuke	nisused	pl
niuke	`niuksed	pl
raske	`rasked	pl
peenike	peen'ikke	sg
üske	`üssed	pl
misukene	misukkene	sg
üske	`üssed	pl
niisuke	niisukkesed	pl
nisuke	nisune	sg
nisuke	nisukke	sg
kraap+kene	kraabi+kkene	sg
nisuke	nisukkesed	pl
niuke	`niuksed	pl
osa+ke	osa+kkesed	pl
peenike	peen'ikke	sg
niuke	`niuksed	pl
sard+ke	sarra+kkesed	pl
tünn+kene	tün'ni+kkene	sg
pütt+kene	püt'ti+kkene	sg
tükk+ke	tükki+kkesed	pl
värske	`värsked	pl
nihuke	nihukkesed	pl
niuke	`niuksed	pl
tilluke	til'lukke	sg
ilus+kene	ilusa+kkene	sg
niuke	`niukke	sg
siuke	siukke	sg
päike	`päikke	sg
raske	`raske	sg
nisukene	nisukkene	sg
nisuke	nisukkesed	pl
siuke	siuksed	pl
nisukene	nisukkene	sg
nisukene	nisukkene	sg
väike	veikke	sg
värske	`värske	sg
niisuke	niisukkesed	pl
väike	`veiksed	pl
majake	`maeakkesed	pl
tükike	tükkikkesed	pl
siuke	siukke	sg
nisuke	nisukkesed	pl
siuke	`siuksed	pl
siuke	`siukke	sg
nisuke	nisukkesed	pl
siuke	`siuksed	pl
väike	`veiksed	pl
maa+ivake	maa+ivakke	sg
siuke	siukke	sg
ivake	ivakke	sg
ivake	ivakke	sg
siuke	siukke	sg
ainuke	ainukke	sg
siuke	`siuksed	pl
siuke	siuksed	pl
raske	`raske	sg
siuke	siukke	sg
väike	veikke	sg
siuke	siukke	sg
alus+kotike	alus+kot'tikke	sg
teki+hilbuke	tekki+ilbukke	sg
siuke	`siuksed	pl
siuke	siukke	sg
niuke	`niuksed	pl
siuke	siukst	pl
siuke	siukst	pl
siuke	siukst	pl
mardike	mardikkesed	pl
kadrike	kadrikkesed	pl
mardike	mardikkesed	pl
siuke	`siuksed	pl
niuke	`niuksed	pl
siuke+kene	`siukkene	sg
siuke+kene	`siukkene	sg
mihuke	miukke	sg
mihuke	miukke	sg
mihuke	`miukke	sg
niuke	niukst	pl
siuke	siukst	pl
siuke	`siuksed	pl
niuke	niukst	pl
niuke	niukst	pl
siuke+kene	`siukkene	sg
väike	`veikke	sg
siuke	siukke	sg
siuke	siukke	sg
siuke	siukst	pl
siuke	siukst	pl
siuke	`siukke	sg
mihuke	`miukkene	sg
mihuke	`miukkene	sg
siuke	`siuksed	pl
siuke	`siuksed	pl
