sama	samade
riie	riijettega
seal	sääl
siis	siis
mis	mes
olema	oli
uus	uijem
panema	`pandi
siis	siis
pidu	pidule
selg	`selga
mis	mis
vana	vana
töö+riie	`töö+riije
see	see
olema	oli
siis	siis
ikka	`ikka
töö+riie	`töö+riije
aga	aga
ikka	`ikka
üks	ühed
ja	ja
see+sama	need+sammad
vad	vad
paks	paksud
ja	ja
paks	paksud
ikka	`ikka
ja	ja
triibuline	riibulised
kiud	kiudud
jah	jaahh
sulane	sulastele
olema	oli
ka	kaa
tegema	`tehtud
ikka	`ikka
tegema	`tehti
palitu	palittu
ja	ja
palitu	palittu
ja	ja
aga	aga
see	see
olema	oli
ikka	`ikka
kodu	kodu
tegema	`tehtud
kõik	kõik
see	see
riie	riije
ja	ja
siis	siis
püksid	püksid
pintsak	`pintsek
ja	ja
see	see
olema	oli
siis	siis
sulane	sulase
sulane	sulase
riie	`riide
palk	palk
neh	nehh
ei	äi
olema	ole
halvem	alvemast
siuke	`siuksed
kui	kut
ikka	`ikka
olema	ol'i
üks+kõik	üks+kõik
halvem	alvemast
ja	ja
olema	ole
ju	ju
nii+palju	nii+palju
vill	`villu
saama	saand
tooma	`toodi
linn	linnast
veel	veel
vana	vanad
kits	kitse
karv	`karvi
või	või
kus	kus
see	se
nahk	`nahku
parkima	pargitti
sealt	säält
tooma	`toodi
veel	veel
karv	`karvi
panema	`pandi
lamba+vill	`lamba+`villadele
sekka	sega
et	et
ikka	`ikka
jätkuma	`jätkus
et	et
et	et
saama	sai
saama	sai
riie	riijet
tegema	tehja
oh	oohh
see	seda
kuduma	`kootti
iga	iga
talv	`talve
olema	oli
just	just
seal	sääl
üks	üks
kudumine	kudumine
suvi	sui
suvi	sui
es	s
olema	ole
aeg	aega
suvi	sui
olema	oli
välja+töö	välja+töö
aga	aga
talv	`talve
talv	`talve
enne	`enne
jõulud	`jõulut
ketrama	kedratti
seni	sõni
kuni	kuni
küünla+päev	`küinla+päävani
see	see
olema	oli
see	see
