ah	ah
nüüd	nüid
kõnelema	kõnelema
hakkama	hakka
noh	nohh
mina	m
kuidas	kuidass
mina	ma
kõnelema	kõnele
vanem	vanemba
surema	suresiva
ära	ärä
isa	esä
surema	suress
kui	kui
mina	mia
kolm	kolme
aastane	`aastane
teine	tõine
olema	ollu
kaks	katte
nädalane	nädäline
too	tuu
vähene	vähemp
suur	suuremp
elama	eli
no	nu
too	tuu
olema	ol'li
jälle	`jälle
kolm	kolm
aasta	`aastat
mina	miust
jälle	jälle
vana	vanemp
too	tuu
olema	ol'li
ise	esi
jälle	jälle
pere+mees	pereme
man	mann
ka	kahh
aasta	`aastak
aeg	`aiga
ega	egä
miski	midägi
no	noo
ja	jaa
ema	emä
surema	suress
ära	ärä
mina	ma
olema	ol'li
üheksa	üttessä
aastane	`aastane
teine	tõene
olema	ol'li
ju	ju
kuus	kuvve
aastane	`aastane
noh	nohh
suur	`suurembat
mina	ma
ei	i
kõnelema	kõnelegi
too	tuu
olema	ol'li
ikka	ikki
juba	joba
ju	jo
võima	võiss
teenima	tiini
olema	`ol'li
jah	jahh
jah	jah
ja	ja
nii	nii
meie	me
jääma	jäeme
siis	ss
maha	maha
ja	ja
kuhu+ki	kohegi
minema	min'nä
ei	ei
olema	ole
üks+ki	`üttegi
mitte	`mitte
kes	kelle
kõrvale	kõrvale
sina	sa
toetama	`toettat
ja	ja
kes	kess
võtma	võttap
sina	sinu
ja	ja
kes	kess
võtma	võttap
teine	tõese
laps	last
noh	nohh
onu	onu
võtma	võt't'
siis	siss
too	tolle
nüüd	nüüt
mm	m
vähene	vähämbä
ja	ja
aga	aga
mina	mull
kuhu+ki	kohegi
minema	`min'nä
too	toll
olema	`ol'li
ise	esi
ka	kahh
kolm	kolm
neli	neli
laps	last
ja	ja
ütlema	üttel'
mina	ma
mõlemad	mõlembit
ei	ei
jõudma	jõvva
võtma	`võtta
ja	ja
jah	jah
siis	siss
kus	kuss
mina	ma
jääma	jään
ei	ei
olema	ole
miski	midägi
tegema	`tettä
siis	siss
minema	lätsin
sinna	sinna
õõ	õõ
pere+mees	pereme
manu	manu
ja	ja
talu	`tallu
ja	ja
ütlema	`ütli
et	t
mina	ma
tulema	tulen
kari	`karja
et	et
mina	mull
kuhu+ki	kohegi
minema	`min'nä
ei	ei
olema	ole
too	tuu
nagu	nigu
naeratama	naarat
või	vai
ütlema	üttel
noh	nohh
ka	ka
et	et
sina	sa
olema	oled
ju	ju
väike	`väikke
veel	viil
ja	ja
kas	kas
sina	sina
saama	saat
suur	suurest
kari	karjast
jagu	jagu
ja	ja
kas	kas
sina	sa
jõudma	jõvvat
ära	ärä
käima	kävvä
ütlema	ütli
noh	nohh
eks	es
mina	mä
jooksma	joose
ikka	`ik'ki
eks	ess
mina	mä
ikka	ik'ki
saama	saan
noh	noh
siis	s
jääma+ki	`jäigi
siis	siss
ütlema	üttel
et	et
noh	nohh
hea	ää
küll	küll
jääma	jäät
siis	siss
kari	`karja
ja	ja
ja	ja
kus	kos
sina	sa
ikka	ik'ki
minema	lääd
jääma	jäin
kari	`karja
ja	ja
nakkama	nakkassi
käima	`käima
kari	karjan
noh	nohh
olema	ol'li
hein	aina
aeg	aig
tulema	`tul'li
ja	ja
olema	`ol'li
aga	aga
kitsas	kitsass
karja+maa	karja+maa
ahtake	`ahtakke
kolm+kümmend	kolm+kümmend
elajas	eläjät
lammas	`laimbit
olema	`ol'li
nood	noid
es	ess
mõistma	mõesta
lugema	lugeda
ja	ja
jah	jahh
pidama	piäd
jooksma	`juuskma
ühte+viisi	`ütte+`viisi
et	et
sina	sina
ei	ei
saama	saa
ikka	ik'ki
peni	peniga
paks	paks
lepik	leppik
noh	nohh
seal	sääl
söök	`süvvä
ei	ei
olema	ole
veer	`viiri
pidi	pidi
tükkima	tükkivä
ju	jo
heina+maa	aena+ma
sisse	sisse
ja	ja
vili	`vil'lä
siis	siss
niitma	`niidivä
sealt	sält
ära	ärä
õõ	õ
kus	kuss
lahe	lahedamba
puhm	`puhma
kus	koss
õige	õge
paks	paksu
too	tuu
jätma	`jäetti
siis	ss
sinna	sinnä
kari	karjale
ja	ja
ütlema	ütteldi
no	no
ka	ka
õõ	õ
kari	karja
õõ	õ
laps	laits
tulema	tule
sina	sa
õõ	õ
siia	`siijä
nüüd	nüid
laskma	lase
elajas	`eläjäd
siis	siss
laskma	lass
nii	nii
sealt	säält
sööma	`söövä
sealt	säält
niitma	`niitta
ei	i
saama	saa
minema	lätsime
ka	kahh
sinna	`sinnä
ja	ja
kangesti	`kangeste
kuum	kuum
päev	päiv
olema	ol'li
ja	ja
säärane	serände
ja	ja
lepik	leppikku
vari	vari
ka	kahh
seal	sääl
ümber	`ümbre
sõõr	sõõri
kõik	kõik
lepik	leppik
ja	ja
et	et
noh	nõh
sööma	seivä
siis	ss
ära	ärä
ega	egä
ennem	`ennem
kodu	kodu
es	ss
viima	`viijä
et	et
aga	aga
kodu	kodu
minema	läevä
veel	viil
inimene	inimese
kõndima	kõnnit
sinna	`sinnä
või	või
teine	`tõise
aga	aga
kui	ku
sina	sa
mets	mõtsan
sööma	süüt
või	või
siis	siss
ei	ei
olema	ole
kuhu+ki	kohegi
minema	`minnä
ja	ja
panema	panet
lusikas	`lus'ka
ja	ja
sina	sa
veetma	veedit
kes	kess
pikutama	pikkuttiva
siis	ss
minema	`lät'sive
töö	`tüüle
too	tolle
too	tolle
pärast	peräst
jätma	`jäetti
siis	ss
anum	anum
juba	juba
kuiv	kuju
ilm	ilm
tulema	`tul'li
ja	ja
või	või
muidugi	muud'ugi
jah	jahh
sööm	sööm
aegu	`aigu
ja	ja
minema	lätsivä
siis	ss
teine	tõesile
poole	poole
aina	`aina
võtma	`võtma
ütlema	ütteldi
et	et
ja	ja
karja+laps	karja+latse
tulema	tulge
teie	teije
ka	ka
sööma	`süümä
nüüd	nüid
et	et
sööma	sööde
panema	panette
anum	anumat
kinni	`kin'ni
noh	nohh
minema	lät'sime
tooma	tõeme
kõik	kõik
panema	panime
leib	leevä
kott	`kotti
ja	ja
lusikas	`lus'kat
ka	ka
ja	ja
jah	jahh
õõ	õ
länik	lännikkulle
piima+länik	`piimä+lännikkulle
kaas	kaas
peale	`pääle
ja	ja
räim	räeme
vitsik	vitsikkulle
ka	kahh
kaas	kaas
peale	`pääle
nagu	nigu
käskima	`käs'ti
kõik	kõik
ilusti	iluste
aga	aga
ütlema	`ütlime
noh	nohh
suur	`suure
inimene	inimese
ka	ka
heitma	eedävä
pikali	pikkäli
ja	ja
heitma	eedäme
meie	meije
ka	kahh
veidikese	veedikkese
ütlema	`üt'lime
ei	ei
teadma	tiijä
õõ	õ
ise	esi
kõnelema	kõnelime
vahest	vaest
meie	mee
jääma	jääme
magama	magama
mina	ma
ütlema	ütli
ei	ei
jääma	jää
mina	ma
teine	tõese
silm	silmä
pitsitama	pitsittä
kinni	`kin'ni
laskma	lass
see	sii
puhkama	`puhkap
siis	siss
kui	kui
see	sii
ära	ärä
olema	om
puhkama	puhanu
siis	siss
laskma	lasen
see	selle
valla	`valla
ja	ja
teine	tõese
kinni	`kin'ni
ja	jaq
Karla	Karla
jälle	`jälle
ütlema	üttel
mina	mia
ajama	aan
läbi	läbi
hammas	ammaste
vile	vil'et
et	et
ega	egä
meie	me
magama	magama
ikka	`ik'ki
ei	ei
jääma	jää
kari	kari
heitma	eit
magama	magama
juba	joba
nagu	nigu
üks	üits
lade	lade
olema	ol'li
maas	maan
kõik	kõik
seal	sääl
aga	aga
olema	ol'ime
jääma	`jäänu
magama	magama
es	ess
kuulma	kuule
enam	enämp
tema	temä
vile	vil'et
laskma	`laske
ei	ei
mina	minä
silm	sil'mä
mõlemad	mõlemba
kinni	`kin'ni
minema	lännuva
aga	aga
no	no
ikka	ikki
alati	alatti
pere+naine	pere+naene
vahtima	vaht
jälle	jälle
kodu	kodu
minema	lää
aed	aija
otsa	`otsa
kes	kess
olema	`ol'li
vahtima	vahitti
et	et
kus	koss
nüüd	nüüt
kari	kari
olema	omm
kuri	kurja
pull	pulli
olema	ol'liva
et	et
kui	kui
mh	mh
miski	midägi
olema	omm
et	et
siis	siss
röökima	`rüükke
ja	ja
siis	ss
minema	läeme
appi	`aippi
aga	aga
minema	lännu
aed	aija
otsa	`otsa
ja	ja
vahtima	`vahtnu
kari	kari
nurm	nurmen
vahtima	`vahtnu
olema	`ol'li
ütlema	`ütlenu
oi	oi
teie	te
kurat	koradi
laps	latse
olema	omm
magama	magama
jääma	`jäänuva
nüüd	nüüd
päris	periss
kari	kari
nurm	nurmen
aga	aga
noh	noh
too	tu
noor	nuur
pere+mees	pere+miiss
ka	ka
juhtuma	`johtenu
õkva	õkva
tulema	tulema
too	tuu
tulema	tullu
ka	ka
sinna	sinnä
uss+aed	us+`aida
jah	jahh
olema	ol'li
ütlema	üttelnu
jah	jahh
kari	kari
olema	omm
küll	küll
nurm	nurmen
mina	ma
minema	lää
tegema	tii
mina	ma
õõ	õõ
hea	ää
malk	malga
siis	s
mina	ma
tapma	tappa
nagu	nigu
naad	na
tossama	`tossava
pere+naine	pere+nan'e
kuulma	kuulu
see	sedä
et	et
seal	sääl
nemad	nä
olema	omm
nii	nii
tilluke	til'lukese
ja	ja
kõhn	kõhna
nagu	nigu
kõrnets	kõrnetti
kui	ku
taa	ta
et	t
taa	ta
too	tollele
lööma	lüüp
siis	ss
olema	omm
taa	ta
koolema	`koolu
siis	s
ei	ei
olema	ole
sealt	sält
kumb+ki	kummagist
enam	enämb
ja	ja
seal	sääl
tamm	tamme
veeres	veeres
noh	nohh
muidugi	muud'ugi
undruk	undruk
olema	ol'li
ikka	ikki
ümber	`ümbre
ja	ja
et	et
siis	siss
ei	ei
puutuma	puttu
jalg	`jalgu
ette	`ette
kui	kui
jooksma	jooset
seni	seeni
ümber	ümbre
sõõr	syyri
sealt	sääld
jälle	jälle
üks	ütte
lepik	leppikku
sälk	sälk
või	või
mets	mõtsa
sälk	sälk
olema	oli
sealt	säält
seni	`seeni
kui	kui
Juhan	Juhan
malk	malkka
tegema	`tennu
seni	seeni
olema	ol'li
tema	temä
seal+ki	`säälegi
ütlema	üttel
et	et
karjus	karjusse
üles	üless
kus	koss
kari	kari
vaatama	kaeme
jah	jahh
kari	kari
nurm	nurmen
jooksma	joosime
sinna	sinnä
et	et
minema	lääme
ajama	aame
ära	ärä
pere+naine	`per+nan
ütlema	ütlep
ära	ärge
tulema	tulge
nägema	näe
Juhan	Juhan
tulema	tuleb
malk	malk
selg	säl'län
et	et
minema	minge
nüüd	nüid
ära	ärä
kadastik	kadastigu
ja	ja
ja	ja
ära	ärge
teie	te
välja	`väl'lä
tulema	tulgõ
kui	kui
taa	ta
hõikuma	õegub
et	õt
ära	ärge
teie	te
mitte	`mitte
tulema	tulgõ
kui	ku
teie	te
tulema	tulette
siis	siss
tappa	`tappa
saama	saade
no	no
eks	ess
tulema	`tul'li
ka	ka
sinna	sinna
ja	ja
hõikuma	õik
küll	küll
mitu	mittu
kord	`kõrda
kärkima	kärk'
ikka	ik'ki
karjus	karjusse
välja	`väl'lä
karjus	karjusse
välja	väl'lä
et	et
karjus	karjusse
tulema	tulge
siia	`siijä
aga	aga
es	ess
minema	lää
meie	me
olema	ol'lime
puhm	`puhma
all	all
nii	ni
kui	kui
noh	nohh
seni	seeni
kui	ku
tema	temä
juba	juba
ära	ärä
minema	läits
ilm	ilm
minema	läits
kuiv	kuivale
minema	läits
ära	ärä
taa	tall
es	ess
olema	ole
aeg	`aiga
kaua	kavva
ka	ka
väga	`väega
olema	olla
siis	siss
ja	ja
pere+naine	pere+nane
ajama	aij
ikka	ik'ki
kari	`karja
ütlema	üttel
et	et
noh	nohh
sina	sina
siis	s
õõ	õ
õõ	õ
nüüd	nüüd
karjane	karjane
olema	olet
kus	koss
karjus	karjusse
olema	omm
minema	lännu
pere+naine	pere+naene
ei	ei
olema	ole
lausuma	`lausnu
mitte	`mitte
üks	üits
sõna	sõna
ütlema	`ütlep
mina	mina
ikka	ikki
ajama	ai
kari	karja
välja	`väl'lä
ja	ja
aga	aga
õõ	õ
sulane	sulase
hernes	`erne
olema	ol'li
seal	sääl
neljandik	nel'ländikku
maa	maa
olema	oless
taa	ta
vana	vanemb
olema	ollu
siis	s
olema	oss
jääma	`jäänu
veel	viil
mõni	mõni
õõ	õ
õõ	õ
kuhu+ki	kohegi
sööma	`söömättä
taa	ta
olema	lli
lõkk	lõkkann
too	to
olema	lli
noor	nuur
ja	ja
magus	magus
ja	ja
maa+ilm	ma+`ilma
hulk	ulkka
lammas	`lambit
taa	ta
olema	ol'li
ka	ka
nii	nii
puhas	`puhtass
tegema	`tettu
nagu	nigu
üks	üt's
õh	õhh
siis	siss
hõikama	õegass
pere+naine	per+nan'e
et	et
tulema	tulge
nüüd	nüid
et	et
Juhan	Juhan
juba	juba
saama	saap
kodu	kodu
ju	jo
siis	siss
minema	`lätsime
tulema	tul'li
lõuna	lõun
aeg	aig
ja	ja
muidugi+na	muidukkina
kuri	kuri
ka	kahh
et	et
kuidas	kudas
teie	te
magama	magama
jääma	jäide
kuidas	kudas
teie	te
nii	niij
hooletu	oolettude
hh	hh
seisma	saesime
ja	ja
seletama	sellettime
ära	ärä
et	et
seda+viisi	sedä+visi
olema	ol'li
meie	me
sööma	sõeme
ära	ärä
ja	ja
panema	pannime
kõik	kõik
kraam	kraami
kraamima	`kraamsime
ära	ärä
sealt	sält
ja	ja
panema	pannime
siis	siss
nagu	nigu
käskima	`käs'ti
kõik	kõik
anum	anumille
kaas	kaaset
peale	`pääle
piim	piimä
länik	lännikkulle
kaas	kaas
peale	`pääle
räim	räeme
vitsik	vitsikkulle
kaas	kaas
peale	pääle
ja	ja
leib	leib
kott	kottin
ja	ja
kõik	kõik
seadma	`sääsime
nagu	nigu
õõ	õ
käskima	`käs'ti
aga	aga
kuidas	kuda
magama	magama
jääma	jäide
no	no
siis	ss
meie	me
ütlema	ütli
ega	egä
meie	mee
ei	ij
olema	oss
jääma	jäänu
ometi	ontte
mina	mia
pitsitama	pitsitti
teine	tõese
silm	sil'mä
kinni	`kin'ni
ja	ja
et	et
teine	tõene
valvama	valvab
ja	ja
et	et
pärast	peräst
siis	siss
mina	ma
jälle	jäl'le
ajama	aan
teine	tõese
valla	`valla
siis	siss
jälle	`jäl'le
teine	tõene
õõ	õ
magama	makkab
no	no
olema	ol'liva
kinni	`kin'ni
mina	ma
es	ss
kuulma	kuule
kunas	kona
naad	na
mõlemad	mõlemba
olema	ol'li
minema	lännuva
Karla	Karla
ütlema	üttel
no	no
mina	mea
ütlema	`ütli
et	et
mina	mina
ajama	aa
vile	vil'et
läbi	läbi
hammas	ammaste
et	et
ega	egä
mina	ma
siis	siss
magama	magama
ei	ei
jääma	jää
aga	aga
vile	vil'e
olema	`ol'li
seisma	`saisma
jääma	jäänu
ka	kahh
olema	ol'li
magama	magama
jääma	`jäänu
no	noo
tulema	tul'li
vana+pere+mees	vana+bere+mis
ise	esi
siis	siss
no	no
vana+inimene	vana+inimesel
ikka	ikki
olema	omm
hea	paremb
mõte	`mõtte
vana+pere+mees	vana+bere+miss
tulema	tul'li
ütlema	`ütlep
teie	te
võima	võede
arvama	arvatta
naad	na
olema	mm
tilluke	tillukse
päev	`päevä
tõus	tõosu
aeg	ajal
olema	om
nemad	nemä
juba	juba
üleval	ülevän
kari	karjaga
mets	mõtsan
õhtu	õdagu
päev	päiv
minema	lääp
looja	luuja
kui	kui
naad	na
tulema	tuleva
sööma	`sööva
nemad	neil
ei	ei
olema	ole
ju	jo
ka	kahh
puhe	`puhke
aeg	`aiga
suur	suur
inimene	inime
heitma	eedäp
veel	viil
söögi+tund+ki	`söögi+tunnissegi
veel	viil
tund	tun'n'
ehk	ehk
paar	paar
aga	aga
teie	teije
olema	olette
süüdi	`süidi
teie	te
olema	olette
nii	nii
aru	aru
saama	saamatta
õõ	õ
jätma	`jätnu
üks	üits
sinna	`sinnä
teine	tõene
tüdruk	tüdruk
sinna	`sinnä
seni+kui	`seeni+gu
laps	latse
olema	oless
sööma	söönuva
ja	ja
siis	sis
olema	oss
naad	na
õõ	õ
õõ	õ
tooma	toonu
kraam	kraam
kodu	kodu
ja	ja
nüüd	nüid
pidama	piät
jälle	`jäl'le
tükk	tük'k'
maa	maad
minema	minemä
muidu	`muidu
sinna	sinnä
ikka	ikki
sinna	sinnä
ega	egä
naad	nad
sinna	`sinnä
ei	ij
saama	saa
jätma	`jätta
anum	anumit
et	et
teie	teije
olema	oless
meie	meist
kes	kess
tahtma	taht
olema	ollu
ka	ka
suur	suurdest
inimene	inimestest
meie	me
olema	oss
kõik	kõik
magama	magama
jääma	jäänu
kangesti	`kangeste
kuum	kuum
päev	päiv
ja	ja
lepik	leppikku
vari	vari
siis	siss
olema	ol'lime
meie	meije
vaba	vabad
es	ess
saama	saa
tappa	`tappa
ei	ei
ja	ja
nüüd	nüit
olema	`ol'li
juba	joba
sügis	sügisi
poole	poole
noh	nohh
talu+laps	talu+laits
olema	om
talu+laps	talu+laits
tulema	tulep
kunas	kona
taa	ta
tulema	tuleb
õõ	õ
tulema	tul'li
küll	küll
ka	ka
ikka	kki
ka	ka
sinna	sinnä
vahel	vael
appi	`aippi
hoidma	`oidma
või	vai
nagu	nigu
selts	seldsiss
aga	aga
mina	mia
pidama	pidi
ikka	ikki
olema	olema
ühte+viisi	`ütte+`viisi
kangesti	`kangeste
külm	`kül'mä
vihm	`vihmä
sadama	`satte
andma	`an'tti
küll	küll
mees	meeste
kuub	kuub
sealt	sält
selg	`säl'gä
noh	nohh
too	tuu
olema	ol'li
suur	suur
mina	ma
olema	ol'li
tilluke	til'lukke
käis	`käisse
jooksma	`jooseva
nagu	nigu
minema	lätsit
jooksma	`juuskma
ja	jaq
räba	räbä
ka	kahh
jälle+ki	`jällegi
pikali	pikkäli
maas	maan
ühte+viisi	`ütte+`viisi
ei	ei
saama	saa
jooksma	joosta
ei	ei
saama	saa
panema	pannime
too	`tolle
panema	pannin
lepik	leppikku
õõ	õ
lepp	`leppe
peale	`pääle
sinna	`sinnä
ja	ja
siis	sis
olema	ol'li
paljalt	`pal'lald
aga	aga
külm	kül'm
vihm	vihm
sadama	sattap
selg	`säl'län
ka	ka
miski	midägi
suur	suurd
ei	ei
olema	ole
ega	egä
ennem	ennemb
es	ess
olema	ole
need	neid
ee	ee
mm	mm
vatt	`vaette
ja	ja
ega	egä
säärane	sääst
siis	sis
siis	s
olema	ole
säärane	seräst
olema	ol'li
too	tuu
hh	hh
lõim	lõeme
jaki+ke	jakkikke
mis	mess
olema	`ol'li
seal	sääl
peal	pääl
ja	ja
paklane	`paklane
undruku+ke	undrukkukke
või	vai
palla+pool	palla+puul
ümber	`ümbre
ja	jaq
külm	kül'm
olema	`ol'li
kangesti	`kangede
ja	ja
loom	loomel
ka	ka
olema	`ol'li
külm	kül'm
külm	`kül'mä
vihm	`vihma
sadama	`satte
loom	looma
minema	lätsivä
puhmas	puhmaste
varju	`varju
tükkima	`tük'sivä
sinna	sinnä
kiskuma	kissivä
küütsa	`küütsä
kõik	kõik
lammas	`lamba
ja	ja
lehm	lehmä
ja	ja
ja	ja
üks	üits
heitma	eit
mina	miu
ette	`ette
sinna	sinnä
raasike	`raasikke
maa	maad
ütlema	`üt'li
noh	nohh
hea	ää
küll	küll
see	sii
olema	omm
mina	mull
nüüd	nüid
nagu	nigu
märk	märgiss
kui	kui
see	sii
üles	üless
tulema	tulõp
siis	siss
tulema	tuleva
kõik	kõik
õõ	õ
kükitama	kükkitti
sinna	`sinnä
puhm	`puhma
peale	päle
ja	ja
võtma	võtti
siis	siss
põlv	põlvet
siia	`siijä
kõht	`kõttu
vastu	`vasta
et	et
külm	kül'm
olema	`ol'li
nii	nii
minema	lätsivä
lämbe	`lämmäss
kõht	kõtt
olema	ol'li
lämbe	`läm'mi
õh	õh
et	õt
nood	nuu
minema	läevä
lämbe	`lämmess
ja	ja
kaema	kaen
too	tuu
kargama	`kargap
lehm	lehm
sealt	sält
maast	`maast
üles	üless
ja	ja
panema	paneb
jooksma	`juuskma
mis	mes
seal	säl
ometi	ontte
olema	`ol'li
nakkama	nakka
vahtima	`vahtma
ei	ei
olema+ki	olegi
üks+ki	`üttegi
kus+ki	`koskil
noh	nohh
vastne	`vastsõ
maa	maa
kesv	kesi
olema	`ol'li
seal	sääl
too	to
olema	lli
ilus	ilus
kesv	kesi
küll	küll
nii	nii
lihama	lihav
ja	ja
et	et
kus	kos
naad	na
mujale	muijale
olema	omm
minema	lännu
ega	egä
naad	na
mujale	muijale
ei	ei
tükkima	`tük'ki
ju	jo
olema	omm
küll	küll
ümber	`ümbre
sõõr	`syyri
kõik	kõik
tõesti	tõeste
vili	vil'läd
seal	säl
ja	ja
et	et
sinna	sinna
naad	nad
nüüd	nüüd
minema	lätsivä
minema	`lätsi
suur	suure
itk	ikkuga
võtma	`võtti
malk	malga
saama	sai
sinna	sinna
noh	nohh
ajama	aa
need	neid
hulk	ulkka
loom	`luume
sealt	sält
välja	`väl'lä
üksi	ütsi
aga	aga
õh	õh
peni	peni
peale	`pääle
ei	i
saama	saa
ajama	`aada
vihm	`vihma
sadama	`satte
õnneks	õnness
olema	ol'li
et	et
