noh	nohh
mina	ma
ei	i
rääkima	räägi
siis	sis
see	seda
mina	mina
ei	ei
teadma	tia
muu	muud
keegi	kedagi
nii	nii
et	et
et	et
seal	säl
see	see
Röövli+auk	`Röövle+auk
olema	oo
vanasti	vanaste
olema	olnd
aga	aga
vaatama	vatta
sada	sadasid
mina	mul
olema	põle
meel	`meeles
enam	änam
kui	kui
palju	paelu
need	neid
sada	sadasid
siis	siss
üle	üle
sada	saea
tema	täda
olema	on
nüüd	nüid
muidugi	mud'ugi
kaua	kavva
aeg	`aega
ikka	`ikke
üks	üks
paar+sada	paar+sada
või	või
rohkem	`rohkem
vaatama	`vaatta
siis	sis
teie	te
olema	olette
juba	juba
ise+ki	isegi
tark	targad
kui	ku
see	sell
aeg	aal
kui	kui
need	neid
soldat	soldattisi
vana	vanal
aeg	aal
püüdma	`püitti
ja	ja
siis	siss
noor	noored
mees	mehed
jooksma	joosnd
ära	ära
no	no
kaks	kahe
kolm+kümmend	kolme+`gümne
aasta	`aasta
vahel	vahel
ja	ja
siis	siss
võtma	`võetti
vägisi	vägisi
ja	ja
viima	`viidi
soldat	soldattise
ja	ja
siis	siss
olema	ol'lid
kaks+kümmend+viis	kaks+kümmend+viis
aasta	`aastat
jälle	`jälle
soldat	soldattis
no	no
siis	siss
nagu	nagu
vald	vallast
kas	kass
Tori	Torist
või	või
Taali	Taalist
või	või
panema	`pan'tti
jälle	`jälle
riik	riigi
poolt	poolt
üks	üks
summa	summ
kui	kui
palju	paelu
tema	ta
pidama	piab
soldat	soldattise
mees	mehi
saatma	`saatma
ja	ja
pidama	pidid
kaks+kümmend+viis	kaks+kümmend+viis
aasta	`aastad
seal	säl
soldat	soldattis
olema	olema
jah	jahh
ja	ja
selle+pärast	selle+bärast
siis	siss
need	need
mees	mehed
minema	läind
sealt	sält
jooksma	joosnd
iga+üks	iga+üks
oma	oma
kodu	kodust
ära	ära
et	et
tulema	tullakse
viima	viijakse
valla+vanem	valla+vanem
pidama	pidand
otsima	`ot'sima
see	selle
üles	ülese
mis	miss
kui	kui
palju	paelu
sealt	sält
nõudma	`nõuttakse
nii	nii
et	et
tema	taa
teadma	`tiadis
kui	kui
palju	paelu
tema	tall
siis	siss
ju	ju
siis	s
valla+vanem	valla+vanem
ikka	`ikke
ka	kaa
see	sell
aeg	aal
olema	`ol'li
ja	ja
et	et
tema	ta
teadma	`tiadis
kui	kui
palju	paelu
tema	tall
nõudma	`nõuttakse
ja	ja
tema	ta
pidama	pidi
siis	siss
välja	`väl'la
andma	`anma
siis	siss
kuri	kurjaga
pidama	pidid
nemad	nad
sinna	`sinna
vedama	vidama
need	neid
muidu	mud'u
valla+vanem	valla+vanem
pidama	piab
ise	isi
ka	kaa
minema	minema
kui	ku
tema	ta
ei	i
saama	saa
jälle	`jälle
need	neid
kokku	`kokku
ja	ja
siis	siss
nii+moodi	nii+moodi
jooksma	joosnd
need	need
siis	siss
pakku	`pakku
need	need
kaks+teist	kaks+teist
soldat	soldattid
või	või
noor	noort
mees	meest
olema	olnd
teadma	tia
kas	kas
nemad	nad
soldat	soldattid
olema	olid
jaa	jaa
ja	ja
siis	siss
nemad	nad
no	no
muidugi	mud'ugi
kus	kus
nemad	nad
saama	said
mujalt	maealt
kui	kui
siis	siss
varastama	varastasid
või	või
äigama	`äigasid
kus	kus
nemad	nad
saama	said
ega	ega
nemad	neil
raha	raha
olema	põlnd
ega	ega
vana+inimene	vana+inimestel
ju	juu
olema	põlnd
raha	raha
ei	ei
laps	lastele
andma	anda
ega	ega
vana+inimene	vana+inimestel
olema	põlnd
andma	anda
ju	ju
raha	raha
olema	põlnd
oma+ki	omalgi
kus	kus
sina	sa
see	seda
raha	raha
saama	saad
siis	s
laps	lastele
andma	anda
no	noo
aga	aga
siis	siis
nemad	nad
pidama	pidid
ju	ju
varastama	varastama
ja	ja
ja	ja
käima	`keima
ringi	`ringi
kuidas	kudas
nemad	nad
elama	elada
saama	saavad
aga	aga
siis	siss
ju	ju
nemad	nad
siis	siss
tegema	tegid
sinna	`sinna
meie	mede
no	no
ega	ega
tema	ta
siis	sis's
meie	mede
olema	põln
sinna	`sinna
tegema	tegid
seoke	`seokse
koobas	`kooppa
oma	omal
sinna	`sinna
mets	metsa
sisse	`sisse
ja	ja
üks	üks
väike	`väikke
jalg+rada	jalg+rada
mis	mis
see	see
nüüd	nüid
suur	suur
tee	tee
olema	oo
see	see
ikka	`ikki
sinna	sinna
sealt	sealt
mööda	`mööda
käima	käind
või	või
sedasi	sedasi
seoke	`seokke
rada	rada
moodi	`moodi
nagu	nagu
vahest	vahest
käima	keivad
mets	metsest
ikka	ikke
puu+raiuja	puu+`raijujad
ja	ja
seoke	seoksed
asi	asjad
seoke	seoksed
rada	radad
olema	ol'lid
siis	siss
olema	olnd
jah	jah
ja	ja
siis	siss
nemad	nemad
elama	eland
siis	siss
sinna	`sinna
tegema	teind
sinna	`sinna
oma	omale
sinna	`sinna
kõrge	`kõrge
nukk	nukku
otsa	`otsa
siis	siss
elu+koht	elu+koha
aga	aga
ikka	`ikke
maa	maa
sisse	`sisse
või	või
seoke	`seokke
kivi+maa	kivi+maa
kangesti	`kangeste
seoke	seok
kõrge	`kõrge
nukk	nukk
olema	`ol'li
ja	ja
sinna	`sinna
sisse	`sisse
siis	siss
tegema	teind
oma	omal
see	selle
koht	koha
kus	kus
nemad	nad
elama	elavad
aga	aga
siis	siss
nüüd	nüid
Tori	Toris
olema	olnd
Tori	Toris
seal	säl
Muti	Mut'ti
küla	külast
mööda	`mööda
sinna	`sinna
Vändra	`Vändra
poole	`poole
minema	`minna
seal	seal
olema	olnd
jälle	`jälle
üks	üks
Jaani	Jaani
talu	talu
või	või
ja	ja
see	see
siin	sii
Jaani	Jaani
talu	talu
noorik	noorik
saama	saand
sinna	`sinna
noorik	noorikkuse
jälle	`jälle
üks	üks
ja	ja
see	sellel
olema	põle
siis	siss
vill	villa
kaar	`kaara
olema	oln
ja	ja
minema	läind
siis	siss
Pärnu	`Pärnust
oma	omale
vill	villa
kaar	`kaara
tooma	`tooma
aga	aga
no	no
muidugi	mud'ugi
kuidas	kudas
need	need
hobune	obused
olema	`ol'lid
ja	ja
tema	ta
pidama	pidi
ju	ju
jala	jala
minema	minema
ja	ja
kus	kus
nemad	nad
otse	otse
käima	keind
sealt	sealt
Tori	Tori
Selja	Sel'la
tee	teed
mööda	mööda
sealt	sält
Selja	Sel'la
kõrts	kõrtsi
alt	alt
heina+maa	eina+mad
mööda	mööda
käima	keind
see	see
tee	tee
heina+maa	eina+ma
tee	tee
talvine	taline
tee	tee
siis	siis
Pärnu	`Pärnu
peale	`piale
aga	aga
nüüd	nüid
see	see
Elts	El'ts
minema	läind
Elts	El'ts
olema	ol'li
see	selle
nimi	nime
see	selle
noorik	noorikku
nimi	nime
see	see
olema	oli
noorik	noorik
mis	miss
sinna	`sinna
minema	läks
sinna	`sinna
Rikas	`Rikka
Jaan	Jaani
talu	taluse
nüüd	nüid
tema	ta
olema	oo
Rikas	Rikkas
Jaan	Jaan
enne	`enne
olema	olnd
Jaan	Jaani
talu	talu
ja	ja
siis	siss
see	sest
saadik	saadik
tema	ta
olema	oo
rikas	rikkas
talu	talu
kui	kui
tema	ta
nüüd	nüid
jälle	`jälle
sinna	`sinna
elama	elama
minema	läks
kui	ku
nemad	nad
viima	viisid
tema	ta
sinna	`sinna
elama	elama
võtma	`võt'sid
kinni	`kinni
tema	ta
tee	tee
peal	pial
ja	ja
viima	viisid
sinna	`sinna
oma	oma
urgas	`urkkase
kaks+teist	kaks+teist
noor	noort
mees	meest
no	no
aga	aga
üks	üks
olema	olnd
ikka	`ikke
ka	ka
pere+mees	pere+mees
ja	ja
see	selle
jaoks	jaos
jääma	jäänd
siis	siis
ikka	ikke
see	see
noorik	noorik
või	või
naine	naene
küll	küll
naine	naene
esiti	`es'ti
paluma	palund
ka	kaa
et	et
tema	ta
jälle	jälle
et	et
tema	teda
laskma	`lastakse
ikka	`ikke
lahti	`lahti
ja	ja
et	et
olema	onn
siis	siis
mis	miss
olema	onn
et	et
laskma	`lastagu
lahti	`lahti
aga	aga
ei	eij
olema	ole
laskma	`lastud
iga	iga
päev	pääv
olema	olnd
üks	üks
ikka	ikke
kodu	kodu
tema	teda
valvama	`valvames
ja	ja
suur	suuremalt
osa	osalt
ikka	ikke
pere+mees	pere+mees
olema	olnd
siis	siis
üks	üks
ka	koa
nemad	neil
seal	seal
siis	siis
üks	üks
muidugi	mud'ugi
valima	valitti
pere+mees	pere+mes
ja	ja
teine	teesed
olema	ol'lid
siis	siss
mis	miss
see	selle
käsk	käsud
pidama	peab
tegema	tegema
noh	nohh
siis	siss
olema	olnd
juba	juba
üsna	üsna
hea	ia
ja	ja
see	see
Elts	El'ts
ütlema	üttend
et	et
tema	ta
ei	i
tahtma+ki	tahagi
enam	änam
kodu	kodu
minema	`minna
et	et
päris	päris
hea	ia
seal	seal
juba	juba
pesu	pesu
olema	põle
tarvis	`tarvis
pesema	pesta
ainult	aenult
sööma	`süija
saama	saab
ja	ja
magama	magada
saama	saab
ja	ja
ja	ja
üsna	üsna
hästi	`ästi
olema	põle
aga	aga
ega	ega
tema	ta
süda	süda
olema	põle
rahu	rahu
olema	olnd
selle+pärast	selle+bärast
aga	aga
üks	üks
ja	ja
ikka	`ikke
üks	üks
pidama	pidand
alati	alatti
kodu	kodu
olema	olema
vaat	vat
ikka	`ikke
tema	teda
passima	`pas'sima
aga	aga
see	sell
kord	korral
siis	siis
vaat	vat
tema	ta
tegema	teind
oma	omal
juba	juba
seoke	seokses
tõsine	tõsises
et	et
tema	ta
ei	ei
minema+ki	lähegi
enam	enam
ära	ära
et	et
hea	ia
küll	küll
ja	ja
väga	väga
hea	ia
no	no
aga	aga
üks+kord	üks+kord
olema	olnd
seoke	`seokke
juhus	juhus
et	et
minema	läind
kõik	kõik
ära	ära
no	no
siis	siss
tema	tema
viledaste	viledaste
hakkama	akkand
ise	ennast
see	selle
vastu	`vastu
valmistama	val'mistama
et	et
tema	ta
sealt	sealt
plehku	`plehku
saama	saab
ja	ja
kõige	kõige
ennem	ennem
olema	olnd
siis	siiss
tegema	teind
tema	tall
