kuus	kuus
suvi	suve
käima	käesi
kari	karjas
jah	jahh
eh	ehh
vana	vana
va	va
soo+karja+maa	suu+karja+maa
olema	olli
ja	ja
kadakas	kadaja
ja	ja
kadarbik	kadarbik
seande	seantte
vana	vana
vesine	vesine
karja+maa	karja+maa
olema	oli
jah	jahh
halb	alb
ikka	`ikki
halb	alb
olema	oli
ikka	ikki
jah	jahh
vesine	vesine
karja+maa	karja+maa
olema	oli
es	ess
tää	tää
ei	ei
olema	ole
meel	meelen
jääma	jäi
vahest	vaest
jääma	jäi
ikka	ikki
magama	magama
kah	kahh
ejah	ejahh
raasike	raasikke
ega	ega
es	ss
tohtima	tohi
ka	ka
palju	pal'lu
jääma	jäijä
ju	jo
siis	sõss
minema	lätsiv
jälle	jäll
elajas	eläjä
kuri	kurja
peale	pääle
jälle	`jälle
jah	jahh
minema	läks
minema	läits
kuri	kurja
peale	pääle
ja	ja
pealt	päält
kaks+kümmend	katte+`gümne
elajas	eläjä
olema	olli
kaheksa+teist	kahessa+`dõisku
kaheksa+teist	kahessa+`dõisku
nüssi+lehm	nüssi+`lehmä
olema	oli
ja	ja
pealt	*pääld
pealt	päält
kümme	`kümne
siga	sia
olema	oli
jah	jahh
ikka	ikk
ikka	ikk
ikka	ik
hea	ää
vahva	`vahva
suur	suur
talu	talu
olema	oli
hea	ää
suur	suur
talu	talu
olema	oli
sada	sada
viis+kümmend	`viiskünd
vaka+maa	vakka+maad
põld	`põldu
olema	oli
jah	jahh
kaheksa+teist	kahessa+`dõisku
olema	oli
kaheksa+teist	kahessa+`dõisku
nüssi+lehm	nüssi+`lehmä
olema	oli
ise	esi
olema	oli
oma	oma
õhvake	õhvakse
olema	olive
olema	oli
küll	küll
no	no
siis	sõss
kodu	kodu
muud+kui	muut+kui
kodu	kodu
ära	äräde
kui	kui
kiin	`kiini
hakkama	nakkassive
jooksma	`juuskma
mets	mõts
olema	oli
lähike	lähikke
jah	jahh
mets	mõts
olema	oli
lähike	lähikke
küll	küll
aga	aga
no	noo
muidu	muidu
olema	oles
ju	jo
mets	`mõtsa
minema	minnu
aga	aga
siis	sõss
muud+kui	muut+kui
kodu	kodu
ära	äräde
minema	lätsive
kiil	`kiili
jooksma	`juuskma
ja	ja
või	või
jaa	jaa
händ	ännä
selg	sel'gä
ja	ja
minema	lätsive
kui	ku
üks	its
õhk	õhk
noh	nohh
saama	sai
ikka	ikki
riidlema	riijelda
kah	kahh
jah	jahh
pere+mees	pere+miis
olema	oli
kuri	kuri
jah	jahh
va	va
kuri	kuri
pere+mees	pere+miis
olema	oli
jah	jahh
ei	ei
ei	ei
mia	miast
asi	`asja
ei	ei
mäletama	mälettä
hommik	ommukku
vara	vara
üles	ülesse
tulema	tulla
kaks+teist	katte+`tõistku
ajal	aal
siis	sõss
kell	kella
kaheksa	kahessass
jälle	jälle
kodu	kodu
kari	kari
kulla	kulla
preili+kene	preelikke
ei	ei
mäletama	mäletta
enam	enämb
karjane	karjane
olema	oli
kah	kahh
abi	abiss
jah	jahh
jah	jahh
ikka	ikki
talu	talu
kari	karjan
olema	olive
alam	alamat
söök	`süükki
andma	`antti
sool+vesi	`suul+vi
kauss	kausiga
olema	oli
räim	räim
ja	ja
ja	ja
hapu+piim	appu+piim
olema	oli
liud	livva
sees	sehen
ja	ja
alam	alamb
söök	süük'
olema	oli
koguni	kogundist
suurma+puder	`suurma+`putru
keetma	keedetti
ja	ja
ja	ja
kartul	`karttula
sees	sehen
vana	vanal
aeg	aal
jah	jahh
kartul	`karttula
sees	sehen
kah	kahh
ja	ja
ja	ja
suurmad	`suurma
suurma+leem	`suurma+liim
ja	ja
kartul	`karttula
sees	sehen
alam	alamb
söök	süük'
olema	oli
ikka	ikki
mõni	mõnel
kotus	kottuses
olema	oli
parem	paremb
söök	süük'
küll	küll
aga	aga
Kureni	Kurenil
olema	oli
alam	alamb
söök	süük'
esi+laud	esi+lavvan
jah	jahh
pere+mees	pere+miiss
ja	ja
pere+naine	pere+naene
need	nii
sööma	seive
ikka	ikki
taga+kamber	taga+`gambren
olema	oli
liha	liha
kauss	kausiga
ees	ehen
ja	ja
aga	aga
pere	perel
olema	oli
alam	alamb
söök	süük'
laud	lavva
peal	pääl
ee	e
sool+vesi	`suul+vii
kauss	kausiga
kausi+kene	kausiksega
olema	oli
räim	räeme
ja	ja
hapu+piim	appu+piim
ja	ja
ja	ja
ja	ja
puder	`putru
keetma	keedetti
või	või
see	se
suurma+leem	`suurma+`liimi
keetma	keedetti
ja	ja
olema	oli
kartul	`karttula
sees	sehen
ja	ja
pere+mees	pere+miss
ja	ja
pere+naine	pere+naene
sööma	seive
küll	küll
liha	liha
taga+kamber	taga+`kambren
ääh	äähh
es	ess
andma	anna
see	se
olema	oli
püha+päev	pühäbä
hommik	ommukku
kui	ku
andma	antti
liha	liha
kah	kahh
no	noo
jõul	jõulusse
andma	antt
ikka	ikki
siis	sõss
kah	kahh
parem	paremat
nigu	nigu
vorst	`vorsti
olema	olive
ja	ja
jõul	`jõulu
ajal	aal
aa	aa
olema	olive
vorst	vorsti
ja	ja
lehter	`lehtrega
lehter	`lehtrega
ja	ja
ja	ja
ja	ja
tang	tangu
hautama	avvuttide
ära	äräde
ja	ja
ja	ja
ja	ja
veri	veri
ja	ja
siga	sia
veri	veri
ja	ja
siis	sõss
õ	õ
lehter	lehter
panema	pantti
see	selle
soolikas	soolikke
soolikas	soolikke
sisse	`sissi
sinna	sinna
panema	`pantti
jälle	jälle
need	nii
hautama	auttet
suurmad	`suurma
jälle	jälle
see	selle
lehter	`lehtre
sisse	`sissi
ja	ja
siis	ss
pulk	pulgaga
pulk	pulgaga
siis	sõss
jälle	jälle
ajama	aetti
sinna	sinna
see	selle
soolikas	soolikke
sisse	`sissi
sealt	sääld
lehter	`lehtrest
lehter	`lehtre
seest	siist
jah	jahh
seante	seantse
puu	puu
puu	puust
varras	`varda
olema	olive
puu	puust
varras	`varda
pulk	pulga
vorst	or'st
vorst	or'sti
või	või
vorst	or'st
vorst	or'sti
pulk	`pulkkege
jah	jahh
vorst	orsti
pulk	`pulkke
tulema	tulep
tegema	tettä
jah	jahh
seante	seantse
pika+kene	pikkäkse
olema	olive
need	nii
pulk	pulga
kah	kahh
jah	jahh
vorst	vorsti
pulk	pulkke
tulema	tulep
tegema	tettä
jah	jahh
need	nende
pulk	`pulkkega
panema	`pantti
siis	ss
ots	`otsa
kinni	`kinni
jah	jahh
need	nii
vorst	orsti
ots	otsa
vaatama	vaatta
muidu	mud'u
olema	oless
olema	oless
need	nii
tang	tangu
välja	`väil'lä
tulema	tullu
jah	jahh
tang	tangu
olema	oless
välja	väil'lä
tulema	tullu
muidu	mud'u
sealt	sääld
kui	kui
pulk	pulgaga
ei	ei
olema	oless
kinni	`kinni
panema	pant
jah	jahh
selle+pärast	selle+beräst
panema	`pantti
kinni	`kinni
jah	jah
noh	noh
keetma	keedetti
päris	periss
pool	puult
tund	`tunni
es	ess
es	ess
keetma	keedetta
õige	õege
pool	puul'
tund	`tunni
pea+aegu	pia+`aigu
keetma	keedetti
kah	kahh
ikka	ikki
ee	e
pada	paan
need	neid
vorst	`or'ste
jah	jahh
siis	sõss
siis	sõss
olema	olive
ära	ärä
keema	*keenu
või	või
võima	võid
nõnda+samuti	nõnda+samatti
sööma	süüvvä
kah	kahh
kui	kui
sina	sa
tahtma	tahat
jah	jahh
kes	kess
kes	kess
nõnda	nõnda
es	ess
tahtma	taha
tahtma	taha
siis	sõss
see	sii
es	ess
see	sii
es	ess
sööma	süü
aga	aga
kes	kell
hea	ää
süda	süä
olema	oli
sööma	sei
siis	sõss
kah	kahh
tema	ta
olema	oli
ju	jo
pool	puul'
tund	`tunni
ära	ärä
keema	keenu
hea	ää
hulka	ulkka
olema	oli
ära	ärr
keema	*keenu
noh	nohh
siis	sõss
olema	olive
ju	jo
päris	periss
kah	kahh
hea	ää
aga	aga
muidu	mud'u
küpsetama	küdsättide
ahi	ahjun
ahi	ahjun
küpsetama	küdsättide
jah	jahh
siis	sõss
minema	lätsive
nõnda	nõnda
hea	`äässe
ja	ja
ja	ja
krõbe	rõbesse
minema	lätsive
jah	jahh
taa	tat
tegema	`tetti
pann	`panni
peal	pääl
ja	ja
rasv	rasva
sees	sehen
