niisukene	niisukkeses
ee	e
ee	e
lepa+võsa	leppa+võsas
ee	e
olema	oleme
ka	kaa
elama	eland
põld	põllu
põld	põld
olema	onn
nüüd	nüid
ka	kaa
natukene	nattukkene
siuke	siukke
nisukene	nisukkene
nisukene	nisukkene
noh	nohh
siuke	siukke
kitsas	kitsas
pikk	pikk
põld	põld
no	no
siis	siis
seal	seal
olema	onn
mina	mull
siuke	siukke
lage	lagedam
koht	koht
jah	jahh
siis	siis
seal	sääl
ei	ei
tohtima	tohi
kulla	kulla
preili	preili
kuulma	kuule
mitte	`mitte
ei	ei
tohtima	tohi
ee	ee
jah	jahh
ja	ja
siis	siss
noh	nohh
ee	e
jah	jahh
nisukene	nisukkene
lepa+võsa	leppa+võsa
kohe	kohe
nii	nii
siuke	siukke
noh	nohh
kus	kuss
olema	on
juba	juba
üks	ühe
kolm	kolme
aasta	`aasta
eest	eest
või	või
neli	nel’la
aasta	`aasta
eest	eest
nüüd	nüid
ära	ära
see	see
ee	ee
noh	nohh
nüüd	nüid
nagu	nagu
mets	mets
maha	maha
võtma	`võettud
ja	ja
vaatama	vaatta
lepp	lepp
tema	tema
olema	onn
ju	ju
nisukene	nisukkene
paha	paha
mis	miss
kasvama	kasvab
ruttu	`ruttu
ja	ja
ruttu	`ruttu
kohe	kohe
kaks	kahe
kolm	kolme
aasta	`aastaga
siis	sis
olema	onn
juba	juba
üle	üle
pea	pia
juba	juba
olema	oleme
seal	säl
ee	ee
mets	metsas
seal	seal
ee	e
ee	ee
seal	seal
ee	ee
lepp	`leppade
sees	sees
ei	ei
olema	ole
noh	nohh
nisukene	nisukkene
olema	on
paha	paha
karja+maa	karja+ma
ühe+sõnaga	ühe+sõnaga
ütlema	üttelda
kohe	kohe
tänavu	tänavu
olema	on
sada	sada
las	lass
mina	ma
nüüd	nüid
hakkama	`akkan
mõtlema	`mõtlema
ee	ee
sada	sada
kuus	kuus
olema	onn
eelmine	`eelmene
aasta	`aasta
olema	oli
mina	mull
sada	sada
kaks+kümmend	kaks+kümmend
üks	üks
ei	ei
sada	sada
sada	sada
sada	sada
sada	sada
üheksa+teist	üheksa+deist
eelmine	`eelmene
aasta	`aasta
olema	oli
mina	mull
sada	sada
kolm+kümmend	kolm+gümmend
kaks+kümmend	kaks+kümmend
üheksa	üheksa
aga	aga
