"col1","col2"
"Ambla",0.007
"Anseküla",0
"Audru",0
"Avinurme",0
"Emmaste",0
"Hargla",0
"Helme",0.117
"Haljala",0
"Halliste",0
"Harju-Madise",0.049
"Häädemeeste",0
"Iisaku",0.027
"Idasetu",0.026
"Jaani",0
"Juuru",0.01
"Jõelähtme",0
"Jõhvi",0.012
"Jämaja",0.006
"Kadrina",0.007
"Kambja",0.043
"Kanepi",0.128
"Keila",0.022
"Kihelkonna",0
"Kihnu",0
"Kirbla",0
"Kolga-Jaani",0.112
"Kodavere",0.064
"Koeru",0.018
"Kose",0.029
"Karja",0.09
"Karksi",0.25
"Karula",0.148
"Kullamaa",0.02
"Kuusalu",0
"Käina",0
"Lihula",0
"Lõunasetu",0.015
"Lüganuse",0.012
"Martna",0
"Mihkli",0.012
"Muhu",0.004
"Mustjala",0.025
"Märjamaa",0.025
"Nissi",0
"Nõo",0.089
"Otepää",0.031
"Palamuse",0.031
"Peetri",0.027
"Püha",0.014
"Pühalepa",0
"Pilistvere",0.026
"Pärnu-Jaagupi",0.006
"Põltsamaa",0.064
"Põlva",0.118
"Põhjasetu",0.057
"Paistu",0.123
"Puhja",0.198
"Pöide",0.013
"Rannu",0.222
"Rapla",0
"Reigi",0.01
"Ridala",0.017
"Risti",0.01
"Rõngu",0.029
"Rõuge",0.008
"Räpina",0.04
"Suure-Jaani",0.031
"Tori",0
"Torma",0.009
"Tarvastu",0.057
"Tõstamaa",0.024
"Türi",0
"Urvaste",0
"Vaivara",0.025
"Varbla",0
"Vastseliina",0.005
"Viru-Jaagupi",0.016
"Valjala",0
"Väike-Maarja",0
"Viru-Nigula",0.032
"Võnnu",0.344
"Vändra",0.006
"Äksi",0.027
"Setumaa",0.0326666666666667
