"col1","col2"
"Ambla",0.007
"Anseküla",0.026
"Audru",0
"Avinurme",0.119
"Emmaste",0
"Hargla",0.205
"Helme",0.034
"Haljala",0.048
"Halliste",0.045
"Harju-Madise",0.01
"Häädemeeste",0.021
"Iisaku",0.063
"Idasetu",0.375
"Jaani",0
"Juuru",0.02
"Jõelähtme",0.034
"Jõhvi",0.108
"Jämaja",0.013
"Kadrina",0.022
"Kambja",0.185
"Kanepi",0.151
"Keila",0.037
"Kihelkonna",0.013
"Kihnu",0.005
"Kirbla",0
"Kolga-Jaani",0.025
"Kodavere",0.088
"Koeru",0.005
"Kose",0
"Karja",0
"Karksi",0.122
"Karula",0.083
"Kullamaa",0
"Kuusalu",0.055
"Käina",0.009
"Lihula",0
"Lõunasetu",0.178
"Lüganuse",0.059
"Martna",0.002
"Mihkli",0.03
"Muhu",0.004
"Mustjala",0.01
"Märjamaa",0
"Nissi",0
"Nõo",0.168
"Otepää",0.519
"Palamuse",0.074
"Peetri",0
"Püha",0
"Pühalepa",0
"Pilistvere",0.02
"Pärnu-Jaagupi",0
"Põltsamaa",0.042
"Põlva",0.15
"Põhjasetu",0.891
"Paistu",0
"Puhja",0.137
"Pöide",0
"Rannu",0.02
"Rapla",0
"Reigi",0
"Ridala",0
"Risti",0
"Rõngu",0.093
"Rõuge",0.22
"Räpina",0.296
"Suure-Jaani",0.01
"Tori",0.036
"Torma",0.062
"Tarvastu",0.078
"Tõstamaa",0.003
"Türi",0
"Urvaste",0.221
"Vaivara",0.041
"Varbla",0.03
"Vastseliina",0.254
"Viru-Jaagupi",0.016
"Valjala",0
"Väike-Maarja",0.031
"Viru-Nigula",0.011
"Võnnu",0.26
"Vändra",0.017
"Äksi",0.041
"Setumaa",0.481333333333333
