"col1"	"col2"
"Ambla"	0.022
"Anseküla"	0.026
"Audru"	0
"Avinurme"	0.119
"Emmaste"	0
"Hargla"	0.211
"Helme"	0.151
"Haljala"	0.048
"Halliste"	0.045
"Harju-Madise"	0.059
"Häädemeeste"	0.021
"Iisaku"	0.09
"Idasetu"	0.404
"Jaani"	0
"Juuru"	0.03
"Jõelähtme"	0.034
"Jõhvi"	0.126
"Jämaja"	0.019
"Kadrina"	0.029
"Kambja"	0.228
"Kanepi"	0.349
"Keila"	0.058
"Kihelkonna"	0.013
"Kihnu"	0.005
"Kirbla"	0
"Kolga-Jaani"	0.137
"Kodavere"	0.151
"Koeru"	0.023
"Kose"	0.029
"Karja"	0.09
"Karksi"	0.372
"Karula"	0.231
"Kullamaa"	0.02
"Kuusalu"	0.055
"Käina"	0.009
"Lihula"	0
"Lõunasetu"	0.196
"Lüganuse"	0.071
"Martna"	0.002
"Mihkli"	0.043
"Muhu"	0.009
"Mustjala"	0.035
"Märjamaa"	0.025
"Nissi"	0
"Nõo"	0.263
"Otepää"	0.55
"Palamuse"	0.105
"Peetri"	0.027
"Püha"	0.014
"Pühalepa"	0
"Pilistvere"	0.046
"Pärnu-Jaagupi"	0.006
"Põltsamaa"	0.106
"Põlva"	0.268
"Põhjasetu"	0.952
"Paistu"	0.128
"Puhja"	0.335
"Pöide"	0.026
"Rannu"	0.263
"Rapla"	0
"Reigi"	0.01
"Ridala"	0.017
"Risti"	0.01
"Rõngu"	0.122
"Rõuge"	0.229
"Räpina"	0.336
"Suure-Jaani"	0.041
"Tori"	0.036
"Torma"	0.079
"Tarvastu"	0.135
"Tõstamaa"	0.027
"Türi"	0
"Urvaste"	0.221
"Vaivara"	0.066
"Varbla"	0.03
"Vastseliina"	0.259
"Viru-Jaagupi"	0.032
"Valjala"	0
"Väike-Maarja"	0.031
"Viru-Nigula"	0.042
"Võnnu"	0.611
"Vändra"	0.023
"Äksi"	0.068
"Setumaa"	0.517333333333333
