"V1"	"V2"
"ahjukene"	"ahjukkane"
"ahjukene"	"ahokkene"
"ahtake"	"ahtakke"
"ahtakene"	"ahtakkõnõ"
"ahtakene"	"ahtikkene"
"aiake"	"aijakke"
"aiakene"	"aijakkõsõ"
"aiamaakene"	"aijamaakkõnõ"
"aidake"	"aidakkõnõ"
"aidakene"	"aidakkõsõ"
"aidakene"	"aidakkõsõhh"
"aknake"	"akneks"
"alevikene"	"alõvikkõnõ"
"aluskotike"	"aluskottikke"
"anumakene"	"anumakkõnõ"
"asjakene"	"asjakkõsõ"
"augukene"	"augukkene"
"augukene"	"aukukkese"
"eidekene"	"eidekkene"
"elukene"	"elokkõnõ"
"elukene"	"elukkene"
"elumajakene"	"elumajakke"
"elupäevake"	"elubääväkkese"
"emakene"	"emakkene"
"emakene"	"emakkõnõ"
"emakene"	"emäkke"
"emakene"	"emäkkene"
"emakene"	"emäkkõnõ"
"emakene"	"imäkkene"
"hakike"	"hakkikkõsõ"
"halvakene"	"halvakkõnõ"
"hameke"	"ammõkkõnõ"
"hamekene"	"hammõgõisi"
"hamekene"	"hammõkkõsõs"
"hangukene"	"hangukkõnõ"
"harjukene"	"harjukkõnõ"
"harjukene"	"harjukkõsõq"
"harukene"	"harukkõsõq"
"harvkene"	"arugesed"
"heakene"	"hääkkese"
"heakene"	"hüäkkene"
"hellakene"	"helläkkene"
"hernekene"	"hernekkene"
"hirmukene"	"irmukkene"
"hobusekene"	"hobõsõkkõnõ"
"hobusekene"	"hobõsõkkõsõ"
"hohhokene"	"hohhokkõnõ"
"hädakene"	"hädäkkene"
"härrakene"	"ärräkk"
"hääkene"	"hääkkene"
"illike"	"illikse"
"illike"	"illiksõ"
"iluskene"	"ilusakkene"
"imepisikene"	"imepisikkene"
"isakene"	"essäkke"
"isakene"	"esäkke"
"isapojakene"	"issäbojak"
"isapojakene"	"issäpojakkene"
"ivake"	"ivak"
"ivake"	"ivakke"
"ivake"	"ivakkest"
"ivake"	"ivaksege"
"ivake"	"iväkke"
"ivake"	"iväkkest"
"ivakene"	"ibikkesed"
"ivakene"	"ivakkene"
"jaanituluke"	"jaanidulukke"
"jakike"	"jakkikke"
